ATeam,ASeed,BTeam,BSeed,ARk,AAdjEM,AAdjO,AStrength_of_Schedule_AdjD,ANCSOS_AdjT,AW,AL,BRk,BAdjEM,BAdjO,BStrength_of_Schedule_AdjD,BNCSOS_AdjT,BW,BL,A_g,A_mp_per_g,A_fg_per_g,A_fga_per_g,A_fg_pct,A_fg2_per_g,A_fg2a_per_g,A_fg2_pct,A_fg3_per_g,A_fg3a_per_g,A_fg3_pct,A_ft_per_g,A_fta_per_g,A_ft_pct,A_orb_per_g,A_drb_per_g,A_trb_per_g,A_ast_per_g,A_stl_per_g,A_blk_per_g,A_tov_per_g,A_pf_per_g,A_pts_per_g,B_g,B_mp_per_g,B_fg_per_g,B_fga_per_g,B_fg_pct,B_fg2_per_g,B_fg2a_per_g,B_fg2_pct,B_fg3_per_g,B_fg3a_per_g,B_fg3_pct,B_ft_per_g,B_fta_per_g,B_ft_pct,B_orb_per_g,B_drb_per_g,B_trb_per_g,B_ast_per_g,B_stl_per_g,B_blk_per_g,B_tov_per_g,B_pf_per_g,B_pts_per_g
Tennessee,3,Longwood,14,7,25.24,111.4,36,86.2,26,7,144,2.48,106.1,115,103.6,26,6,33,40.3,25.9,60.2,0.43,17.1,35.7,0.479,8.8,24.4,0.359,12.7,17.8,0.712,11.9,25.2,37.1,16.1,9.3,4.4,12.4,17.0,73.2,32,40.3,26.7,58.8,0.454,18.5,37.2,0.497,8.2,21.6,0.38,14.8,20.5,0.724,12.0,25.3,37.3,14.0,7.8,2.4,12.0,15.4,76.3
Illinois,4,Chattanooga,13,17,19.59,113.7,23,94.1,22,9,72,11.27,110.0,58,98.8,27,7,31,40.3,26.7,58.9,0.453,17.5,33.8,0.517,9.2,25.1,0.367,13.2,18.6,0.708,11.6,27.0,38.6,15.4,5.2,3.0,12.2,16.4,75.8,34,40.3,27.5,58.6,0.469,19.5,35.6,0.548,8.0,23.1,0.346,11.8,15.7,0.752,10.6,25.3,35.9,13.0,7.2,2.2,11.0,15.5,74.8
Duke,2,Cal State Fullerton,15,12,23.71,119.4,7,95.7,28,6,149,2.1,104.7,144,102.6,21,10,34,40.1,29.7,60.7,0.489,21.5,38.5,0.558,8.2,22.2,0.368,12.6,17.4,0.729,10.7,27.6,38.3,16.9,6.5,5.5,10.2,13.6,80.2,31,40.0,24.8,55.4,0.447,19.3,38.7,0.498,5.5,16.7,0.33,15.2,19.9,0.763,9.7,23.9,33.5,11.3,7.3,2.0,12.3,16.0,70.3
Michigan State,7,Davidson,10,40,14.87,111.3,38,96.4,22,12,41,14.8,116.8,11,102.0,27,6,34,40.0,26.0,56.9,0.457,18.8,37.9,0.497,7.2,19.0,0.378,12.9,17.3,0.747,10.0,27.1,37.1,15.8,5.8,5.1,13.1,16.9,72.1,33,40.2,26.7,55.4,0.481,17.8,32.6,0.548,8.8,22.8,0.386,13.4,17.7,0.757,7.4,26.9,34.2,14.7,4.7,2.6,9.8,14.7,75.6
Murray State,7,San Francisco,10,27,16.39,111.5,35,95.1,30,2,21,18.37,110.8,45,92.4,24,9,32,40.0,29.0,60.6,0.479,21.0,37.8,0.555,8.1,22.8,0.353,13.2,19.0,0.694,12.5,26.7,39.2,14.7,7.9,3.1,11.4,15.0,79.3,33,40.0,27.6,60.5,0.457,18.0,33.2,0.541,9.6,27.2,0.354,12.2,17.5,0.696,10.7,27.3,37.9,13.1,7.7,4.6,12.9,17.9,77.1
Wisconsin,3,Colgate,14,34,15.58,110.4,49,94.8,24,7,119,4.22,108.3,79,104.1,23,11,31,40.0,25.0,58.8,0.425,18.4,37.6,0.489,6.6,21.2,0.312,14.1,19.0,0.742,9.3,25.6,34.9,11.1,5.3,2.8,8.5,17.0,70.7,34,40.1,27.7,58.1,0.476,17.8,33.6,0.53,9.9,24.6,0.403,10.7,15.4,0.695,8.8,27.4,36.2,17.2,6.2,3.7,11.3,14.5,76.1
Purdue,3,Yale,14,14,22.29,121.3,3,99.0,27,7,147,2.23,101.5,203,99.2,19,11,34,40.4,28.2,57.2,0.493,19.5,34.9,0.559,8.7,22.4,0.391,14.6,20.8,0.703,11.2,27.4,38.6,16.6,4.6,3.5,11.7,14.4,79.8,30,40.2,25.7,57.9,0.444,18.8,36.9,0.509,6.9,21.0,0.33,13.9,18.9,0.739,8.9,27.1,36.0,11.9,6.2,3.2,12.9,17.4,72.3
Auburn,2,Jacksonville State,15,10,24.45,113.6,24,89.1,27,5,146,2.24,105.3,132,103.1,21,10,32,40.6,27.9,63.6,0.44,19.8,38.2,0.519,8.1,25.4,0.32,14.7,20.1,0.733,12.5,27.5,39.9,14.6,8.8,7.9,12.1,18.5,78.7,31,40.2,26.4,56.0,0.472,17.1,32.0,0.535,9.3,24.0,0.388,11.8,17.3,0.681,9.6,27.4,36.9,14.5,6.2,2.9,13.3,14.1,73.9
Gonzaga,1,Georgia State,16,1,32.97,121.8,1,88.8,26,3,151,1.84,101.5,201,99.7,18,10,29,40.0,32.9,62.4,0.527,24.6,40.3,0.609,8.4,22.1,0.379,13.6,18.6,0.73,9.4,32.1,41.5,18.2,6.7,5.9,11.8,15.4,87.8,28,40.5,25.0,62.0,0.403,17.3,38.6,0.447,7.7,23.4,0.329,13.0,18.1,0.717,13.3,24.0,37.3,13.5,8.9,4.5,11.9,15.8,70.6
Seton Hall,8,TCU,9,35,14.97,108.5,75,93.5,21,10,38,14.91,108.2,80,93.3,20,12,31,40.2,25.6,60.4,0.423,18.2,38.8,0.47,7.4,21.6,0.34,14.4,19.0,0.757,12.2,26.7,38.9,10.4,7.0,5.5,12.0,15.6,72.9,32,40.2,25.3,57.4,0.441,19.7,39.1,0.505,5.6,18.3,0.304,12.0,17.9,0.668,12.9,25.8,38.7,13.6,6.3,4.2,14.5,15.3,68.1
Villanova,2,Delaware,15,11,24.11,118.0,8,93.8,26,7,145,2.28,106.8,100,104.6,22,12,33,40.2,24.6,56.3,0.437,15.3,30.4,0.503,9.3,25.9,0.359,14.1,17.2,0.823,10.2,24.7,34.9,12.1,6.2,2.2,10.0,15.2,72.6,34,40.3,26.1,55.6,0.469,18.5,34.1,0.543,7.6,21.5,0.352,14.0,18.9,0.743,8.6,24.2,32.8,12.7,6.6,3.7,12.6,15.6,73.8
Baylor,1,Norfolk State,16,5,26.32,117.9,9,91.6,26,6,168,0.15,102.4,190,102.3,24,6,32,40.2,28.2,60.9,0.464,20.3,37.9,0.535,7.9,23.0,0.346,12.1,17.4,0.698,12.8,24.4,37.1,15.8,8.8,3.4,12.5,15.8,76.5,30,40.0,26.5,57.0,0.466,19.5,36.7,0.531,7.0,20.2,0.348,15.0,21.5,0.698,10.1,28.6,38.8,12.6,6.7,3.7,14.0,17.7,75.1
