Year,Team,Rk,Conf,AdjEM,AdjO,Strength_of_Schedule_AdjD,NCSOS_AdjT,Seed,W,L
2017,UNC Wilmington,59,CAA,12.46,118.0,19,105.5,12,29,6
2017,Providence,60,BE,12.43,108.5,101,96.0,11,20,13
2017,Vermont,63,AE,11.67,111.1,62,99.4,13,29,6
2017,East Tennessee St.,67,SC,11.1,108.0,106,96.9,13,27,8
2017,Bucknell,76,Pat,9.38,109.7,78,100.3,13,26,9
2017,New Mexico St.,84,WAC,7.89,110.5,70,102.6,14,28,6
2017,Florida Gulf Coast,108,ASun,5.07,109.4,83,104.4,14,26,8
2017,Winthrop,113,BSth,4.53,106.1,144,101.6,13,26,7
2017,Iona,117,MAAC,4.2,110.8,67,106.6,14,22,13
2017,Troy,137,SB,2.04,109.7,79,107.6,15,22,15
2017,Northern Kentucky,138,Horz,1.91,106.8,130,104.9,15,24,11
2017,Kent St.,141,MAC,1.68,104.9,159,103.3,14,22,14
2017,Jacksonville St.,157,OVC,0.63,105.8,147,105.2,15,20,15
2017,North Carolina Central,161,MEAC,0.36,102.2,214,101.9,16,25,9
2017,North Dakota,168,BSky,0.04,103.6,188,103.5,15,22,10
2017,New Orleans,178,Slnd,-0.52,101.3,235,101.8,16,20,12
2017,South Dakota St.,185,Sum,-1.19,110.2,71,111.4,16,18,17
2017,Mount St. Mary's,209,NEC,-3.86,99.5,269,103.4,16,20,16
2017,Texas Southern,212,SWAC,-4.04,103.5,189,107.5,16,23,12
2017,UC Davis,218,BW,-4.41,97.8,293,102.2,16,23,13
2018,Villanova,1,BE,33.76,127.8,1,94.0,1,36,4
2018,Virginia,2,ACC,29.53,115.2,30,85.6,1,31,3
2018,Duke,3,ACC,28.86,122.4,3,93.6,2,29,8
2018,Cincinnati,4,Amer,26.6,113.4,49,86.8,2,31,5
2018,Purdue,5,B10,26.27,122.7,2,96.4,2,30,7
2018,Michigan St.,6,B10,25.41,119.2,13,93.8,3,30,5
2018,Michigan,7,B10,24.2,114.7,35,90.5,3,33,8
2018,North Carolina,8,ACC,23.59,120.3,6,96.7,2,26,11
2018,Kansas,9,B12,23.49,120.9,5,97.4,1,31,8
2018,Gonzaga,10,WCC,23.03,118.1,14,95.1,4,32,5
2018,Texas Tech,11,B12,22.59,113.3,50,90.8,3,27,10
2018,West Virginia,12,B12,22.44,119.4,10,96.9,5,26,11
2018,Tennessee,13,SEC,22.27,114.6,36,92.4,3,26,9
2018,Clemson,14,ACC,21.65,114.2,44,92.6,5,25,10
2018,Xavier,15,BE,21.51,120.1,8,98.6,1,29,6
2018,Ohio St.,16,B10,21.16,116.0,23,94.9,5,25,9
2018,Kentucky,17,SEC,20.44,115.8,24,95.4,5,26,11
2018,Houston,18,Amer,20.24,114.6,38,94.4,6,27,8
2018,Butler,20,BE,19.05,116.2,22,97.2,10,21,14
2018,Wichita St.,21,Amer,19.03,121.0,4,101.9,4,25,8
2018,Florida,22,SEC,18.96,114.5,41,95.5,6,21,13
2018,Auburn,23,SEC,18.69,115.4,26,96.7,4,26,8
2018,TCU,24,B12,18.47,119.7,9,101.2,6,21,12
2018,Nevada,25,MWC,18.39,120.2,7,101.8,7,29,8
2018,Seton Hall,26,BE,18.04,116.9,17,98.8,8,22,12
2018,Florida St.,27,ACC,17.77,114.3,43,96.5,9,23,12
2018,Arizona,28,P12,17.7,118.0,15,100.4,4,27,8
2018,Texas A&M,29,SEC,16.96,111.3,66,94.4,7,22,13
2018,Creighton,30,BE,16.91,115.5,25,98.6,8,21,12
2018,Loyola Chicago,31,MVC,16.39,111.4,63,95.0,11,32,6
2018,Virginia Tech,33,ACC,16.03,115.3,28,99.3,8,21,12
2018,Texas,36,B12,15.43,109.5,89,94.1,10,19,15
2018,Miami FL,37,ACC,15.43,112.9,53,97.4,6,22,10
2018,Missouri,40,SEC,14.83,111.9,58,97.0,8,20,13
2018,Syracuse,41,ACC,14.82,107.0,135,92.2,11,23,14
2018,Kansas St.,42,B12,14.77,110.1,78,95.3,9,25,12
2018,Davidson,43,A10,14.7,117.0,16,102.3,12,21,12
2018,Arkansas,44,SEC,14.69,116.3,20,101.7,7,23,12
2018,N.C. State,46,ACC,14.52,116.3,21,101.8,9,21,12
2018,Oklahoma,48,B12,14.16,114.6,37,100.5,10,18,14
2018,Arizona St.,49,P12,14.13,116.7,18,102.6,11,20,12
2018,San Diego St.,50,MWC,14.09,110.5,77,96.4,11,22,11
2018,Rhode Island,52,A10,13.93,111.1,69,97.2,7,26,8
2018,UCLA,56,P12,13.52,115.0,31,101.4,11,21,12
2018,Alabama,57,SEC,13.41,108.7,106,95.2,9,20,16
2018,New Mexico St.,60,WAC,12.92,107.9,116,95.0,12,28,6
2018,Murray St.,62,OVC,12.19,112.9,54,100.7,12,26,6
2018,Providence,63,BE,12.17,108.9,100,96.7,10,21,14
2018,Buffalo,67,MAC,11.53,114.7,34,103.2,13,27,9
2018,St. Bonaventure,68,A10,11.21,110.8,74,99.5,11,26,8
2018,Montana,72,BSky,10.4,108.8,101,98.4,14,26,8
2018,South Dakota St.,78,Sum,10.2,113.8,47,103.6,12,28,7
2018,UNC Greensboro,82,SC,9.22,104.9,174,95.7,13,27,8
2018,Bucknell,97,Pat,7.31,109.5,90,102.2,14,25,10
2018,Georgia St.,101,SB,6.92,108.8,102,101.9,15,24,11
2018,Marshall,105,CUSA,6.53,109.4,93,102.9,13,25,11
2018,Stephen F. Austin,112,Slnd,5.58,104.5,181,99.0,14,28,7
2018,College of Charleston,115,CAA,5.16,108.7,105,103.6,13,26,8
2018,Penn,125,Ivy,3.69,103.1,208,99.4,16,24,9
2018,Wright St.,133,Horz,2.89,100.6,249,97.7,14,25,10
2018,Iona,137,MAAC,2.63,110.0,80,107.3,15,20,14
2018,Cal St. Fullerton,162,BW,0.62,103.7,192,103.1,15,20,12
2018,UMBC,166,AE,0.5,103.1,206,102.6,16,25,11
2018,Lipscomb,167,ASun,0.43,103.2,203,102.8,15,23,10
2018,Radford,170,BSth,0.07,102.9,212,102.9,16,23,13
2018,Texas Southern,243,SWAC,-6.65,104.6,180,111.2,16,16,20
2018,LIU Brooklyn,259,NEC,-8.27,102.3,220,110.6,16,18,17
2018,North Carolina Central,316,MEAC,-13.41,96.6,314,110.0,16,19,16
2019,Virginia,1,ACC,34.22,123.4,2,89.2,1,35,3
2019,Gonzaga,2,WCC,32.85,124.5,1,91.6,1,33,4
2019,Michigan St.,3,B10,30.81,121.0,5,90.2,2,32,7
2019,Duke,4,ACC,30.62,120.0,7,89.3,1,32,6
2019,Texas Tech,5,B12,30.03,114.1,25,84.1,3,31,7
2019,Michigan,6,B10,28.32,114.5,24,86.2,2,30,7
2019,North Carolina,7,ACC,27.69,119.7,8,92.0,1,29,7
2019,Kentucky,8,SEC,27.57,117.6,14,90.1,2,30,7
2019,Purdue,9,B10,26.81,122.5,4,95.6,3,26,10
2019,Tennessee,10,SEC,26.24,122.7,3,96.5,2,31,6
2019,Auburn,11,SEC,25.0,120.9,6,95.9,5,30,10
2019,Houston,12,Amer,24.13,115.3,19,91.2,3,33,4
2019,Virginia Tech,13,ACC,24.07,118.1,11,94.0,4,26,9
2019,Florida St.,14,ACC,22.39,112.8,36,90.4,4,29,8
2019,Iowa St.,15,B12,22.09,118.9,9,96.8,6,23,12
2019,Wisconsin,16,B10,21.94,110.4,62,88.5,5,23,11
2019,Kansas,17,B12,21.57,113.9,27,92.3,4,26,10
2019,Wofford,18,SC,20.69,118.1,10,97.4,7,30,5
2019,LSU,19,SEC,20.22,117.7,12,97.5,3,28,7
2019,Kansas St.,20,B12,20.06,108.4,98,88.4,4,25,9
2019,Mississippi St.,21,SEC,20.04,117.7,13,97.6,5,23,11
2019,Buffalo,22,MAC,19.85,115.2,21,95.4,6,32,4
2019,Louisville,23,ACC,19.35,113.7,28,94.4,7,20,14
2019,Maryland,24,B10,19.29,113.4,31,94.1,6,23,11
2019,Florida,26,SEC,18.3,110.5,61,92.2,10,20,16
2019,Nevada,27,MWC,18.18,114.0,26,95.9,7,29,5
2019,Oregon,28,P12,17.86,109.5,74,91.7,12,25,13
2019,Cincinnati,29,Amer,17.5,112.3,42,94.8,7,28,7
2019,Villanova,30,BE,17.33,116.5,16,99.2,6,26,10
2019,Saint Mary's,31,WCC,17.31,114.7,23,97.4,11,22,12
2019,Oklahoma,32,B12,16.94,111.1,57,94.1,9,20,14
2019,Marquette,33,BE,16.52,113.2,32,96.7,5,24,10
2019,UCF,34,Amer,16.51,112.1,44,95.6,9,24,9
2019,Baylor,35,B12,16.48,115.3,20,98.8,9,20,14
2019,Iowa,37,B10,16.02,117.4,15,101.3,10,23,12
2019,Utah St.,38,MWC,15.41,112.6,39,97.2,8,28,7
2019,Syracuse,39,ACC,15.13,110.5,59,95.3,8,20,14
2019,VCU,42,A10,14.89,104.3,177,89.5,8,25,8
2019,Ohio St.,44,B10,14.66,109.1,84,94.4,11,20,15
2019,Minnesota,46,B10,14.35,111.4,52,97.0,10,22,14
2019,Washington,48,P12,14.28,107.7,110,93.5,9,27,9
2019,Belmont,49,OVC,14.09,115.6,18,101.5,11,27,6
2019,Mississippi,50,SEC,13.98,113.2,33,99.2,8,20,13
2019,Murray St.,51,OVC,13.83,112.5,41,98.6,12,28,5
2019,New Mexico St.,53,WAC,13.62,113.0,35,99.3,12,30,5
2019,Arizona St.,57,P12,11.55,109.7,73,98.2,11,23,11
2019,Liberty,58,ASun,11.54,111.1,54,99.6,12,29,7
2019,Seton Hall,60,BE,11.5,109.0,87,97.5,10,20,14
2019,Temple,69,Amer,9.72,109.2,80,99.5,11,23,10
2019,UC Irvine,73,BW,9.16,107.4,118,98.2,13,31,6
2019,Vermont,76,AE,8.86,108.5,97,99.6,13,27,7
2019,Yale,77,Ivy,8.79,111.6,51,102.8,14,22,8
2019,St. John's,88,BE,7.61,108.6,92,101.0,11,21,13
2019,Northeastern,89,CAA,7.59,111.0,58,103.4,13,23,11
2019,Northern Kentucky,96,Horz,7.14,109.4,76,102.3,14,26,9
2019,Saint Louis,106,A10,6.02,102.2,214,96.2,13,23,13
2019,Old Dominion,113,CUSA,5.45,101.4,238,96.0,14,26,9
2019,Georgia St.,124,SB,4.85,107.7,111,102.8,14,24,10
2019,Colgate,126,Pat,4.6,110.5,60,105.9,15,24,11
2019,Montana,137,BSky,3.53,107.4,114,103.9,15,26,9
2019,Abilene Christian,152,Slnd,1.35,103.4,196,102.0,15,27,7
2019,Bradley,161,MVC,0.09,101.5,234,101.4,15,20,15
2019,Gardner Webb,163,BSth,-0.04,107.8,109,107.8,16,23,12
2019,Iona,198,MAAC,-2.88,106.9,129,109.7,16,17,16
2019,North Dakota St.,202,Sum,-3.2,107.4,117,110.6,16,19,16
2019,Prairie View A&M,209,SWAC,-4.13,102.1,219,106.2,16,22,13
2019,Fairleigh Dickinson,211,NEC,-4.22,106.5,139,110.7,16,21,14
2019,North Carolina Central,303,MEAC,-11.55,97.8,295,109.3,16,18,16
2021,Gonzaga,1,WCC,36.48,126.4,1,89.9,1,31,1
2021,Baylor,2,B12,33.87,125.0,2,91.1,1,28,2
2021,Michigan,3,B10,29.67,117.6,9,87.9,1,23,5
2021,Illinois,4,B10,29.06,118.0,8,88.9,1,24,7
2021,Houston,5,Amer,28.75,118.3,7,89.6,2,28,4
2021,USC,6,P12,27.58,115.7,14,88.1,6,25,8
2021,Iowa,7,B10,26.87,123.5,3,96.7,2,22,9
2021,Colorado,8,P12,25.1,116.3,13,91.2,5,23,9
2021,Alabama,9,SEC,25.09,112.9,30,87.8,2,26,7
2021,Loyola Chicago,10,MVC,24.32,111.3,41,87.0,8,26,5
2021,Ohio St.,11,B10,23.58,120.7,4,97.1,2,21,10
2021,Villanova,12,BE,23.02,119.0,6,96.0,5,18,7
2021,UCLA,13,P12,22.43,116.9,11,94.5,11,22,10
2021,Wisconsin,14,B10,22.4,113.0,29,90.6,9,18,13
2021,Florida St.,15,ACC,22.12,114.9,16,92.8,4,18,7
2021,Oregon,16,P12,21.85,117.2,10,95.4,7,21,7
2021,Texas Tech,17,B12,21.81,112.7,32,90.9,6,18,11
2021,Arkansas,18,SEC,21.56,111.1,43,89.6,3,25,7
2021,Virginia,19,ACC,21.42,114.7,17,93.3,4,18,7
2021,BYU,20,WCC,21.12,113.7,23,92.5,6,20,7
2021,Connecticut,21,BE,20.61,113.1,27,92.5,7,15,8
2021,Creighton,22,BE,20.59,113.4,25,92.8,5,22,9
2021,West Virginia,23,B12,20.51,116.8,12,96.3,3,19,10
2021,LSU,24,SEC,20.35,120.1,5,99.8,8,19,10
2021,Purdue,25,B10,20.33,113.3,26,92.9,4,18,10
2021,Texas,26,B12,20.31,113.1,28,92.8,3,19,8
2021,Kansas,27,B12,19.98,110.1,54,90.2,3,21,9
2021,Tennessee,28,SEC,19.95,108.0,85,88.1,5,18,9
2021,San Diego St.,30,MWC,19.88,111.0,45,91.1,6,23,5
2021,St. Bonaventure,32,A10,19.04,110.0,55,91.0,9,16,5
2021,Oklahoma St.,33,B12,18.95,109.6,60,90.7,4,21,9
2021,North Carolina,34,ACC,18.62,110.3,52,91.7,8,18,11
2021,Maryland,35,B10,17.63,111.8,37,94.1,10,17,14
2021,Georgia Tech,37,ACC,17.5,113.7,22,96.2,9,17,9
2021,Rutgers,38,B10,17.48,108.1,82,90.6,10,16,12
2021,Oklahoma,39,B12,17.06,112.1,35,95.1,8,16,11
2021,Florida,41,SEC,16.95,111.0,44,94.1,7,15,10
2021,Syracuse,42,ACC,16.75,113.7,24,96.9,11,18,10
2021,Oregon St.,43,P12,16.4,112.1,36,95.7,12,20,13
2021,Clemson,45,ACC,15.48,106.4,107,90.9,7,16,8
2021,Utah St.,46,MWC,15.34,104.8,126,89.5,11,20,9
2021,Missouri,47,SEC,15.14,110.6,49,95.5,9,16,10
2021,VCU,48,A10,15.04,105.2,122,90.2,10,19,7
2021,Virginia Tech,52,ACC,14.44,109.7,59,95.3,10,15,7
2021,Drake,55,MVC,14.27,112.5,33,98.2,11,26,5
2021,UC Santa Barbara,58,BW,13.63,109.9,56,96.2,12,22,5
2021,Georgetown,63,BE,12.91,107.9,87,95.0,12,13,13
2021,Michigan St.,64,B10,12.9,107.1,98,94.2,11,15,13
2021,Wichita St.,68,Amer,12.3,109.5,61,97.2,11,16,6
2021,North Texas,72,CUSA,11.76,106.7,101,95.0,13,18,10
2021,Ohio,81,MAC,10.47,111.4,40,100.9,13,17,8
2021,Abilene Christian,84,Slnd,10.11,101.7,184,91.6,14,24,5
2021,Colgate,89,Pat,9.25,110.3,53,101.0,14,14,2
2021,Liberty,98,ASun,8.6,109.8,58,101.2,13,23,6
2021,Winthrop,101,BSth,8.48,105.0,124,96.5,12,23,2
2021,Grand Canyon,103,WAC,8.32,105.4,121,97.1,15,17,7
2021,Eastern Washington,105,BSky,8.19,109.5,62,101.3,14,16,8
2021,UNC Greensboro,108,SC,7.79,103.6,146,95.8,13,21,9
2021,Oral Roberts,125,Sum,4.83,109.3,66,104.4,15,18,11
2021,Morehead St.,134,OVC,3.19,100.6,205,97.4,14,23,8
2021,Drexel,158,CAA,0.67,106.5,104,105.8,16,12,8
2021,Cleveland St.,169,Horz,-0.13,100.6,206,100.7,15,19,8
2021,Iona,178,MAAC,-0.78,100.2,217,101.0,15,12,6
2021,Hartford,194,AE,-2.98,97.0,271,100.0,16,15,9
2021,Texas Southern,208,SWAC,-4.37,99.8,221,104.2,16,17,9
2021,Norfolk St.,210,MEAC,-4.47,99.1,234,103.6,16,17,8
2021,Appalachian St.,212,SB,-4.71,98.4,245,103.1,16,17,12
2021,Mount St. Mary's,237,NEC,-6.62,94.5,301,101.1,16,12,11
2022,Gonzaga,1,WCC,32.97,121.8,1,88.8,1,26,3
2022,Arizona,2,P12,27.21,119.6,5,92.4,1,31,3
2022,Kentucky,3,SEC,26.59,120.2,4,93.6,2,26,7
2022,Houston,4,Amer,26.5,117.3,10,90.9,5,29,5
2022,Baylor,5,B12,26.32,117.9,9,91.6,1,26,6
2022,Kansas,6,B12,25.49,119.4,6,93.9,1,28,6
2022,Tennessee,7,SEC,25.24,111.4,36,86.2,3,26,7
2022,UCLA,8,P12,24.85,116.1,15,91.2,4,25,7
2022,Texas Tech,9,B12,24.64,109.7,65,85.1,3,25,9
2022,Auburn,10,SEC,24.45,113.6,24,89.1,2,27,5
2022,Villanova,11,BE,24.11,118.0,8,93.8,2,26,7
2022,Duke,12,ACC,23.71,119.4,7,95.7,2,28,6
2022,Iowa,13,B10,23.53,121.5,2,98.0,5,26,9
2022,Purdue,14,B10,22.29,121.3,3,99.0,3,27,7
2022,Texas,15,B12,20.41,111.8,32,91.4,6,21,11
2022,Saint Mary's,16,WCC,19.81,109.8,63,90.0,5,25,7
2022,Illinois,17,B10,19.59,113.7,23,94.1,4,22,9
2022,Connecticut,18,BE,19.33,113.9,21,94.6,5,23,9
2022,LSU,19,SEC,19.08,107.6,89,88.6,6,22,11
2022,Arkansas,20,SEC,19.02,111.1,40,92.1,4,25,8
2022,San Francisco,21,WCC,18.37,110.8,45,92.4,10,24,9
2022,San Diego St.,22,MWC,18.15,104.1,157,85.9,8,23,8
2022,Virginia Tech,23,ACC,17.86,114.3,18,96.4,11,23,12
2022,Loyola Chicago,24,MVC,17.69,110.9,42,93.2,10,25,7
2022,Alabama,25,SEC,17.36,116.1,14,98.7,6,19,13
2022,Boise St.,26,MWC,16.41,108.5,76,92.1,8,27,7
2022,Murray St.,27,OVC,16.39,111.5,35,95.1,7,30,2
2022,Memphis,28,Amer,16.22,110.4,50,94.1,9,21,10
2022,North Carolina,29,ACC,16.04,113.1,27,97.0,8,24,9
2022,Colorado St.,31,MWC,15.86,114.2,20,98.3,6,25,5
2022,Ohio St.,32,B10,15.82,116.6,13,100.8,7,19,11
2022,Michigan,33,B10,15.65,114.2,19,98.6,11,17,14
2022,Wisconsin,34,B10,15.58,110.4,49,94.8,3,24,7
2022,Seton Hall,35,BE,14.97,108.5,75,93.5,8,21,10
2022,Indiana,36,B10,14.94,107.6,91,92.6,12,20,13
2022,TCU,38,B12,14.91,108.2,80,93.3,9,20,12
2022,Michigan St.,40,B10,14.87,111.3,38,96.4,7,22,12
2022,Davidson,41,A10,14.8,116.8,11,102.0,10,27,6
2022,USC,42,P12,14.45,110.5,47,96.0,7,26,7
2022,UAB,46,CUSA,14.03,112.5,28,98.5,12,27,7
2022,Marquette,47,BE,14.0,109.8,62,95.8,9,19,12
2022,Iowa St.,48,B12,13.95,104.4,151,90.4,11,20,12
2022,Providence,49,BE,13.88,111.9,31,98.0,4,25,5
2022,Notre Dame,52,ACC,13.63,112.0,29,98.4,11,22,10
2022,Creighton,53,BE,13.47,105.6,124,92.1,9,22,11
2022,Wyoming,58,MWC,13.1,110.2,54,97.1,12,25,8
2022,Vermont,59,AE,13.07,110.8,44,97.7,13,28,5
2022,Miami FL,62,ACC,12.62,114.8,17,102.1,10,23,10
2022,South Dakota St.,71,Sum,11.44,116.8,12,105.3,13,30,4
2022,Chattanooga,72,SC,11.27,110.0,58,98.8,13,27,7
2022,Rutgers,74,B10,10.86,106.4,107,95.5,11,18,13
2022,New Mexico St.,81,WAC,10.1,107.8,87,97.7,12,26,6
2022,Richmond,83,A10,9.82,109.1,68,99.3,12,23,12
2022,Saint Peter's,118,MAAC,4.28,98.8,259,94.5,15,19,11
2022,Colgate,119,Pat,4.22,108.3,79,104.1,14,23,11
2022,Montana St.,125,BSky,3.81,104.5,147,100.7,14,27,7
2022,Akron,131,MAC,3.49,106.2,113,102.7,13,24,9
2022,Longwood,144,BSth,2.48,106.1,115,103.6,14,26,6
2022,Delaware,145,CAA,2.28,106.8,100,104.6,15,22,12
2022,Jacksonville St.,146,ASun,2.24,105.3,132,103.1,15,21,10
2022,Yale,147,Ivy,2.23,101.5,203,99.2,14,19,11
2022,Cal St. Fullerton,149,BW,2.1,104.7,144,102.6,15,21,10
2022,Georgia St.,151,SB,1.84,101.5,201,99.7,16,18,10
2022,Norfolk St.,168,MEAC,0.15,102.4,190,102.3,16,24,6
2022,Wright St.,182,Horz,-0.87,106.4,108,107.2,16,21,13
2022,Bryant,183,NEC,-0.95,104.2,154,105.2,16,22,9
2022,Texas Southern,188,SWAC,-1.33,98.1,270,99.4,16,18,12
2022,Texas A&M Corpus Chris,243,Slnd,-6.31,97.0,287,103.3,16,23,11
