Year,Date,Region,Round,PTS,OT,Diff,Location,WinningTeam,WinningSeed,LosingTeam,LosingSeed
2021,"March 19, 2021",South,First Round,55,False,24,"Indianapolis, IN",Baylor,1,Hartford,16
2021,"March 19, 2021",South,First Round,68,False,17,"Indianapolis, IN",Arkansas,3,Colgate,14
2021,"March 18, 2021",East,First Four,80,True,6,"West Lafayette, IN",UCLA,11,Michigan State,11
2021,"March 18, 2021",East,First Four,52,False,8,"Bloomington, IN",Texas Southern,16,Mount St. Mary's,16
2021,"March 18, 2021",West,First Four,53,False,1,"Bloomington, IN",Norfolk State,16,Appalachian State,16
2021,"March 18, 2021",West,First Four,52,False,1,"West Lafayette, IN",Drake,11,Wichita State,11
2019,"April 8, 2019",National,National Final,77,True,8,"Minneapolis, MN",Virginia,1,Texas Tech,3
2019,"April 6, 2019",National,National Semifinal,62,False,1,"Minneapolis, MN",Virginia,1,Auburn,5
2019,"April 6, 2019",National,National Semifinal,51,False,10,"Minneapolis, MN",Texas Tech,3,Michigan State,2
2019,"March 31, 2019",East,Regional Final,67,False,1,"Washington, DC",Michigan State,2,Duke,1
2019,"March 31, 2019",Midwest,Regional Final,71,True,6,"Kansas City, MO",Auburn,5,Kentucky,2
2019,"March 30, 2019",South,Regional Final,75,True,5,"Louisville, KY",Virginia,1,Purdue,3
2019,"March 30, 2019",West,Regional Final,69,False,6,"Anaheim, CA",Texas Tech,3,Gonzaga,1
2019,"March 29, 2019",East,Regional Semifinal,63,False,17,"Washington, DC",Michigan State,2,LSU,3
2019,"March 29, 2019",Midwest,Regional Semifinal,58,False,4,"Kansas City, MO",Kentucky,2,Houston,3
2019,"March 29, 2019",East,Regional Semifinal,73,False,2,"Washington, DC",Duke,1,Virginia Tech,4
2019,"March 29, 2019",Midwest,Regional Semifinal,80,False,17,"Kansas City, MO",Auburn,5,UNC,1
2019,"March 28, 2019",South,Regional Semifinal,49,False,4,"Louisville, KY",Virginia,1,Oregon,12
2019,"March 28, 2019",West,Regional Semifinal,44,False,19,"Anaheim, CA",Texas Tech,3,Michigan,2
2019,"March 28, 2019",South,Regional Semifinal,94,True,5,"Louisville, KY",Purdue,3,Tennessee,2
2019,"March 28, 2019",West,Regional Semifinal,58,False,14,"Anaheim, CA",Gonzaga,1,Florida State,4
2019,"March 24, 2019",East,Second Round,58,False,9,"San Jose, CA",Virginia Tech,4,Liberty,12
2019,"March 24, 2019",South,Second Round,51,False,12,"Columbia, SC",Virginia,1,Oklahoma,9
2019,"March 24, 2019",West,Second Round,58,False,20,"Tulsa, OK",Texas Tech,3,Buffalo,6
2019,"March 24, 2019",South,Second Round,77,True,6,"Columbus, OH",Tennessee,2,Iowa,10
2019,"March 24, 2019",South,Second Round,54,False,19,"San Jose, CA",Oregon,12,UC-Irvine,13
2019,"March 24, 2019",Midwest,Second Round,59,False,22,"Columbus, OH",UNC,1,Washington,9
2019,"March 24, 2019",Midwest,Second Round,59,False,15,"Tulsa, OK",Houston,3,Ohio State,11
2019,"March 24, 2019",East,Second Round,76,False,1,"Columbia, SC",Duke,1,UCF,9
2019,"March 23, 2019",South,Second Round,61,False,26,"Hartford, CT",Purdue,3,Villanova,6
2019,"March 23, 2019",East,Second Round,50,False,20,"Des Moines, IA",Michigan State,2,Minnesota,10
2019,"March 23, 2019",West,Second Round,49,False,15,"Des Moines, IA",Michigan,2,Florida,10
2019,"March 23, 2019",East,Second Round,67,False,2,"Jacksonville, FL",LSU,3,Maryland,6
2019,"March 23, 2019",Midwest,Second Round,56,False,6,"Jacksonville, FL",Kentucky,2,Wofford,7
2019,"March 23, 2019",West,Second Round,71,False,12,"Salt Lake City, UT",Gonzaga,1,Baylor,9
2019,"March 23, 2019",West,Second Round,62,False,28,"Hartford, CT",Florida State,4,Murray State,12
2019,"March 23, 2019",Midwest,Second Round,75,False,14,"Salt Lake City, UT",Auburn,5,Kansas,4
2019,"March 22, 2019",Midwest,First Round,61,False,17,"Columbus, OH",Washington,9,Utah State,8
2019,"March 22, 2019",East,First Round,52,False,14,"San Jose, CA",Virginia Tech,4,Saint Louis,13
2019,"March 22, 2019",South,First Round,56,False,15,"Columbia, SC",Virginia,1,Gardner-Webb,16
2019,"March 22, 2019",Midwest,First Round,73,False,15,"Columbus, OH",UNC,1,Iona,16
2019,"March 22, 2019",East,First Round,62,False,23,"Columbia, SC",Duke,1,North Dakota State,16
2019,"March 22, 2019",South,First Round,72,False,23,"Columbia, SC",Oklahoma,9,Ole Miss,8
2019,"March 22, 2019",South,First Round,70,False,7,"Columbus, OH",Tennessee,2,Colgate,15
2019,"March 22, 2019",West,First Round,74,False,17,"Tulsa, OK",Buffalo,6,Arizona State,11
2019,"March 22, 2019",Midwest,First Round,61,False,17,"Columbus, OH",Washington,9,Utah State,8
2019,"March 22, 2019",South,First Round,56,False,15,"Columbia, SC",Virginia,1,Gardner-Webb,16
2019,"March 22, 2019",Midwest,First Round,59,False,3,"Tulsa, OK",Ohio State,11,Iowa State,6
2019,"March 22, 2019",South,First Round,64,False,6,"San Jose, CA",UC-Irvine,13,Kansas State,4
2019,"March 22, 2019",East,First Round,58,False,15,"Columbia, SC",UCF,9,VCU,8
2019,"March 22, 2019",Midwest,First Round,55,False,29,"Tulsa, OK",Houston,3,Georgia State,14
2019,"March 22, 2019",East,First Round,76,False,4,"San Jose, CA",Liberty,12,Mississippi State,5
2019,"March 22, 2019",East,First Round,52,False,14,"San Jose, CA",Virginia Tech,4,Saint Louis,13
2019,"March 21, 2019",West,First Round,61,False,9,"Des Moines, IA",Florida,10,Nevada,7
2019,"March 21, 2019",West,First Round,64,False,19,"Hartford, CT",Murray State,12,Marquette,5
2019,"March 21, 2019",West,First Round,49,False,38,"Salt Lake City, UT",Gonzaga,1,Fairleigh Dickinson,16
2019,"March 21, 2019",Midwest,First Round,53,False,34,"Salt Lake City, UT",Kansas,4,Northeastern,13
2019,"March 21, 2019",East,First Round,76,False,10,"Des Moines, IA",Minnesota,10,Louisville,7
2019,"March 21, 2019",Midwest,First Round,77,False,1,"Salt Lake City, UT",Auburn,5,New Mexico State,12
2019,"March 21, 2019",West,First Round,69,False,9,"Salt Lake City, UT",Baylor,9,Syracuse,8
2019,"March 21, 2019",Midwest,First Round,44,False,35,"Jacksonville, FL",Kentucky,2,Abilene Christian,15
2019,"March 21, 2019",South,First Round,48,False,13,"Hartford, CT",Purdue,3,Old Dominion,14
