Year,Date,Region,Round,PTS,OT,Diff,Location,WinningTeam,WinningSeed,LosingTeam,LosingSeed
2016,"April 2, 2016",National,National Semifinal,51,False,44,"Houston, TX",Villanova,2,Oklahoma,2
2016,"March 27, 2016",East,Regional Final,74,False,14,"Philadelphia, PA",UNC,1,Notre Dame,6
2016,"March 27, 2016",Midwest,Regional Final,62,False,6,"Chicago, IL",Syracuse,10,Virginia,1
2016,"March 26, 2016",West,Regional Final,68,False,12,"Anaheim, CA",Oklahoma,2,Oregon,1
2016,"March 26, 2016",South,Regional Final,59,False,5,"Louisville, KY",Villanova,2,Kansas,1
2016,"March 25, 2016",East,Regional Semifinal,86,False,15,"Philadelphia, PA",UNC,1,Indiana,5
2016,"March 25, 2016",Midwest,Regional Semifinal,60,False,3,"Chicago, IL",Syracuse,10,Gonzaga,11
2016,"March 25, 2016",East,Regional Semifinal,56,False,5,"Philadelphia, PA",Notre Dame,6,Wisconsin,7
2016,"March 25, 2016",Midwest,Regional Semifinal,71,False,13,"Chicago, IL",Virginia,1,Iowa State,4
2016,"March 24, 2016",South,Regional Semifinal,63,False,16,"Louisville, KY",Kansas,1,Maryland,5
2016,"March 24, 2016",West,Regional Semifinal,63,False,14,"Anaheim, CA",Oklahoma,2,Texas A&M,3
2016,"March 24, 2016",South,Regional Semifinal,69,False,23,"Louisville, KY",Villanova,2,Miami (FL),3
2016,"March 24, 2016",West,Regional Semifinal,68,False,14,"Anaheim, CA",Oregon,1,Duke,4
2016,"March 20, 2016",Midwest,Second Round,50,False,25,"St. Louis, MO",Syracuse,10,Middle Tennessee,15
2016,"March 20, 2016",West,Second Round,81,False,4,"Oklahoma City, OK",Oklahoma,2,VCU,10
2016,"March 20, 2016",West,Second Round,88,False,4,"Oklahoma City, OK",Texas A&M,3,Northern Iowa,11
2016,"March 20, 2016",South,Second Round,68,False,19,"Brooklyn, NY",Villanova,2,Iowa,7
2016,"March 20, 2016",East,Second Round,75,False,1,"Brooklyn, NY",Notre Dame,6,Stephen F. Austin,14
2016,"March 20, 2016",West,Second Round,64,False,5,"Spokane, WA",Oregon,1,St. Joseph's,8
2016,"March 20, 2016",East,Second Round,63,False,3,"St. Louis, MO",Wisconsin,7,Xavier,2
2016,"March 20, 2016",South,Second Round,60,False,13,"Spokane, WA",Maryland,5,Hawaii,13
2016,"March 19, 2016",East,Second Round,67,False,6,"Des Moines, IA",Indiana,5,Kentucky,4
2016,"March 19, 2016",Midwest,Second Round,59,False,23,"Denver, CO",Gonzaga,11,Utah,3
2016,"March 19, 2016",Midwest,Second Round,69,False,8,"Raleigh, NC",Virginia,1,Butler,9
2016,"March 19, 2016",South,Second Round,61,False,12,"Des Moines, IA",Kansas,1,UConn,9
2016,"March 19, 2016",East,Second Round,66,False,19,"Raleigh, NC",UNC,1,Providence,9
2016,"March 19, 2016",Midwest,Second Round,61,False,17,"Denver, CO",Iowa State,4,Little Rock,12
2016,"March 19, 2016",West,Second Round,64,False,7,"Providence, RI",Duke,4,Yale,12
2016,"March 19, 2016",South,Second Round,57,False,8,"Providence, RI",Miami (FL),3,Wichita State,11
2016,"March 18, 2016",West,First Round,76,False,2,"Spokane, WA",St. Joseph's,8,Cincinnati,9
2016,"March 18, 2016",East,First Round,53,False,18,"St. Louis, MO",Xavier,2,Weber State,15
2016,"March 18, 2016",West,First Round,68,False,14,"Oklahoma City, OK",Oklahoma,2,Cal State Bakersfield,15
2016,"March 18, 2016",South,First Round,74,False,5,"Spokane, WA",Maryland,5,South Dakota State,12
2016,"March 18, 2016",West,First Round,52,False,39,"Spokane, WA",Oregon,1,Holy Cross,16
2016,"March 18, 2016",East,First Round,56,False,14,"Brooklyn, NY",Stephen F. Austin,14,West Virginia,3
2016,"March 18, 2016",East,First Round,43,False,4,"St. Louis, MO",Wisconsin,7,Pitt,10
2016,"March 18, 2016",East,First Round,63,False,7,"Brooklyn, NY",Notre Dame,6,Michigan,11
2016,"March 18, 2016",West,First Round,65,False,27,"Oklahoma City, OK",Texas A&M,3,Green Bay,14
2016,"March 18, 2016",West,First Round,72,False,3,"Oklahoma City, OK",Northern Iowa,11,Texas,6
2016,"March 18, 2016",South,First Round,70,True,2,"Brooklyn, NY",Iowa,7,Temple,10
2016,"March 18, 2016",West,First Round,67,False,8,"Oklahoma City, OK",VCU,10,Oregon State,7
2016,"March 18, 2016",West,First Round,76,False,2,"Spokane, WA",St. Joseph's,8,Cincinnati,9
2016,"March 18, 2016",Midwest,First Round,81,False,9,"St. Louis, MO",Middle Tennessee,15,Michigan State,2
2016,"March 18, 2016",South,First Round,66,False,11,"Spokane, WA",Hawaii,13,California,4
2016,"March 18, 2016",South,First Round,56,False,30,"Brooklyn, NY",Villanova,2,UNC Asheville,15
2016,"March 17, 2016",West,First Round,75,False,4,"Providence, RI",Yale,12,Baylor,5
2016,"March 17, 2016",South,First Round,72,False,7,"Providence, RI",Miami (FL),3,Buffalo,14
2016,"March 17, 2016",East,First Round,57,False,28,"Des Moines, IA",Kentucky,4,Stony Brook,13
2016,"March 17, 2016",South,First Round,79,False,26,"Des Moines, IA",Kansas,1,Austin Peay,16
2016,"March 17, 2016",Midwest,First Round,81,False,13,"Denver, CO",Iowa State,4,Iona,13
2016,"March 17, 2016",East,First Round,74,False,25,"Des Moines, IA",Indiana,5,Chattanooga,12
2016,"March 17, 2016",Midwest,First Round,69,False,11,"Denver, CO",Utah,3,Fresno State,14
2016,"March 17, 2016",Midwest,First Round,52,False,16,"Denver, CO",Gonzaga,11,Seton Hall,6
2016,"March 17, 2016",East,First Round,69,False,1,"Raleigh, NC",Providence,9,USC,8
2016,"March 17, 2016",South,First Round,55,False,10,"Providence, RI",Wichita State,11,Arizona,6
2016,"March 17, 2016",Midwest,First Round,61,False,10,"Raleigh, NC",Butler,9,Texas Tech,8
2016,"March 17, 2016",South,First Round,67,False,7,"Des Moines, IA",UConn,9,Colorado,8
2016,"March 17, 2016",Midwest,First Round,45,False,36,"Raleigh, NC",Virginia,1,Hampton,16
2016,"March 17, 2016",East,First Round,67,False,16,"Raleigh, NC",UNC,1,Florida Gulf Coast,16
2016,"March 17, 2016",Midwest,First Round,83,False,2,"Denver, CO",Little Rock,12,Purdue,5
2016,"March 17, 2016",West,First Round,85,False,8,"Providence, RI",Duke,4,UNC Wilmington,13
2016,"March 16, 2016",West,First Four,55,False,4,"Dayton, OH",Holy Cross,16,Southern,16
2016,"March 16, 2016",East,First Four,62,False,5,"Dayton, OH",Michigan,11,Tulsa,11
2016,"March 15, 2016",South,First Four,50,False,20,"Dayton, OH",Wichita State,11,Vanderbilt,11
2016,"March 15, 2016",East,First Four,65,False,31,"Dayton, OH",Florida Gulf Coast,16,Fairleigh Dickinson,16
2015,"April 6, 2015",National,National Final,63,False,5,"Indianapolis, IN",Duke,1,Wisconsin,1
2015,"April 4, 2015",National,National Semifinal,64,False,7,"Indianapolis, IN",Wisconsin,1,Kentucky,1
2015,"April 4, 2015",National,National Semifinal,61,False,20,"Indianapolis, IN",Duke,1,Michigan State,7
2015,"March 29, 2015",East,Regional Final,70,True,6,"Syracuse, NY",Michigan State,7,Louisville,4
2015,"March 29, 2015",South,Regional Final,52,False,14,"Houston, TX",Duke,1,Gonzaga,2
2015,"March 28, 2015",Midwest,Regional Final,66,False,2,"Cleveland, OH",Kentucky,1,Notre Dame,3
2015,"March 28, 2015",West,Regional Final,78,False,7,"Los Angeles, CA",Wisconsin,1,Arizona,2
2015,"March 27, 2015",South,Regional Semifinal,62,False,12,"Houston, TX",Gonzaga,2,UCLA,11
2015,"March 27, 2015",East,Regional Semifinal,65,False,10,"Syracuse, NY",Louisville,4,NC State,8
2015,"March 27, 2015",East,Regional Semifinal,58,False,4,"Syracuse, NY",Michigan State,7,Oklahoma,3
2015,"March 27, 2015",South,Regional Semifinal,57,False,6,"Houston, TX",Duke,1,Utah,5
2015,"March 26, 2015",Midwest,Regional Semifinal,70,False,11,"Cleveland, OH",Notre Dame,3,Wichita State,7
2015,"March 26, 2015",Midwest,Regional Semifinal,39,False,39,"Cleveland, OH",Kentucky,1,West Virginia,5
2015,"March 26, 2015",West,Regional Semifinal,60,False,8,"Los Angeles, CA",Arizona,2,Xavier,6
2015,"March 26, 2015",West,Regional Semifinal,72,False,7,"Los Angeles, CA",Wisconsin,1,UNC,4
2015,"March 22, 2015",South,Third Round,68,False,19,"Seattle, WA",Gonzaga,2,Iowa,7
2015,"March 22, 2015",Midwest,Third Round,65,False,13,"Omaha, NE",Wichita State,7,Kansas,2
2015,"March 22, 2015",East,Third Round,66,False,6,"Columbus, OH",Oklahoma,3,Dayton,11
2015,"March 22, 2015",Midwest,Third Round,59,False,10,"Columbus, OH",West Virginia,5,Maryland,4
2015,"March 22, 2015",East,Third Round,53,False,13,"Seattle, WA",Louisville,4,Northern Iowa,5
2015,"March 22, 2015",East,Third Round,54,False,6,"Charlotte, NC",Michigan State,7,Virginia,2
2015,"March 22, 2015",West,Third Round,65,False,7,"Omaha, NE",Wisconsin,1,Oregon,8
2015,"March 22, 2015",South,Third Round,49,False,19,"Charlotte, NC",Duke,1,San Diego State,8
2015,"March 21, 2015",West,Third Round,67,False,8,"Jacksonville, FL",Xavier,6,Georgia State,14
2015,"March 21, 2015",Midwest,Third Round,64,True,3,"Pittsburgh, PA",Notre Dame,3,Butler,6
2015,"March 21, 2015",East,Third Round,68,False,3,"Pittsburgh, PA",NC State,8,Villanova,1
2015,"March 21, 2015",Midwest,Third Round,51,False,13,"Louisville, KY",Kentucky,1,Cincinnati,8
2015,"March 21, 2015",West,Third Round,58,False,15,"Portland, OR",Arizona,2,Ohio State,10
2015,"March 21, 2015",West,Third Round,78,False,9,"Jacksonville, FL",UNC,4,Arkansas,5
2015,"March 21, 2015",South,Third Round,64,False,11,"Portland, OR",Utah,5,Georgetown,4
2015,"March 21, 2015",South,Third Round,75,False,17,"Louisville, KY",UCLA,11,UAB,14
2015,"March 20, 2015",Midwest,Second Round,76,False,5,"Omaha, NE",Wichita State,7,Indiana,10
2015,"March 20, 2015",East,Second Round,54,False,17,"Seattle, WA",Northern Iowa,5,Wyoming,12
2015,"March 20, 2015",Midwest,Second Round,56,False,19,"Omaha, NE",Kansas,2,New Mexico State,15
2015,"March 20, 2015",Midwest,Second Round,62,False,6,"Columbus, OH",West Virginia,5,Buffalo,12
2015,"March 20, 2015",East,Second Round,53,False,13,"Columbus, OH",Dayton,11,Providence,6
2015,"March 20, 2015",West,Second Round,72,False,14,"Omaha, NE",Wisconsin,1,Coastal Carolina,16
2015,"March 20, 2015",East,Second Round,63,False,7,"Charlotte, NC",Michigan State,7,Georgia,10
2015,"March 20, 2015",South,Second Round,56,False,29,"Charlotte, NC",Duke,1,Robert Morris,16
2015,"March 20, 2015",East,Second Round,60,False,9,"Columbus, OH",Oklahoma,3,Albany (NY),14
2015,"March 20, 2015",South,Second Round,64,False,12,"Charlotte, NC",San Diego State,8,St. John's (NY),9
2015,"March 20, 2015",South,Second Round,52,False,31,"Seattle, WA",Iowa,7,Davidson,10
2015,"March 20, 2015",East,Second Round,55,False,2,"Seattle, WA",Louisville,4,UC-Irvine,13
2015,"March 20, 2015",Midwest,Second Round,62,False,3,"Columbus, OH",Maryland,4,Valparaiso,13
2015,"March 20, 2015",East,Second Round,67,False,12,"Charlotte, NC",Virginia,2,Belmont,15
2015,"March 20, 2015",West,Second Round,73,False,6,"Omaha, NE",Oregon,8,Oklahoma State,9
2015,"March 20, 2015",South,Second Round,76,False,10,"Seattle, WA",Gonzaga,2,North Dakota State,15
2015,"March 19, 2015",Midwest,Second Round,65,False,4,"Pittsburgh, PA",Notre Dame,3,Northeastern,14
2015,"March 19, 2015",West,Second Round,72,False,21,"Portland, OR",Arizona,2,Texas Southern,15
2015,"March 19, 2015",East,Second Round,65,False,1,"Pittsburgh, PA",NC State,8,LSU,9
2015,"March 19, 2015",West,Second Round,65,False,2,"Jacksonville, FL",UNC,4,Harvard,13
2015,"March 19, 2015",West,Second Round,72,True,3,"Portland, OR",Ohio State,10,VCU,7
2015,"March 19, 2015",West,Second Round,56,False,1,"Jacksonville, FL",Georgia State,14,Baylor,3
2015,"March 19, 2015",West,Second Round,57,False,19,"Jacksonville, FL",Xavier,6,Ole Miss,11
2015,"March 19, 2015",Midwest,Second Round,56,False,23,"Louisville, KY",Kentucky,1,Hampton,16
2015,"March 19, 2015",East,Second Round,52,False,41,"Pittsburgh, PA",Villanova,1,Lafayette,16
2015,"March 19, 2015",South,Second Round,59,False,1,"Louisville, KY",UAB,14,Iowa State,3
2015,"March 19, 2015",Midwest,Second Round,48,False,8,"Pittsburgh, PA",Butler,6,Texas,11
2015,"March 19, 2015",Midwest,Second Round,65,True,1,"Louisville, KY",Cincinnati,8,Purdue,9
2015,"March 19, 2015",South,Second Round,59,False,1,"Louisville, KY",UCLA,11,SMU,6
2015,"March 19, 2015",South,Second Round,74,False,10,"Portland, OR",Georgetown,4,Eastern Washington,13
2015,"March 19, 2015",West,Second Round,53,False,3,"Jacksonville, FL",Arkansas,5,Wofford,12
2015,"March 19, 2015",South,Second Round,50,False,7,"Portland, OR",Utah,5,Stephen F. Austin,12
2015,"March 18, 2015",East,First Round,55,False,1,"Dayton, OH",Dayton,11,Boise State,11
2015,"March 18, 2015",South,First Round,77,False,4,"Dayton, OH",Robert Morris,16,North Florida,16
2015,"March 17, 2015",West,First Round,90,False,4,"Dayton, OH",Ole Miss,11,BYU,11
2015,"March 17, 2015",Midwest,First Round,64,False,10,"Dayton, OH",Hampton,16,Manhattan,16
2014,"April 7, 2014",National,National Final,54,False,6,"Arlington, TX",UConn,7,Kentucky,8
2014,"April 5, 2014",National,National Semifinal,73,False,1,"Arlington, TX",Kentucky,8,Wisconsin,2
2014,"April 5, 2014",National,National Semifinal,53,False,10,"Arlington, TX",UConn,7,Florida,1
2014,"March 30, 2014",Midwest,Regional Final,72,False,3,"Indianapolis, IN",Kentucky,8,Michigan,2
2014,"March 30, 2014",East,Regional Final,54,False,6,"New York, NY",UConn,7,Michigan State,4
2014,"March 29, 2014",South,Regional Final,52,False,10,"Memphis, TN",Florida,1,Dayton,11
2014,"March 29, 2014",West,Regional Final,63,True,1,"Anaheim, CA",Wisconsin,2,Arizona,1
2014,"March 28, 2014",East,Regional Semifinal,59,False,2,"New York, NY",Michigan State,4,Virginia,1
2014,"March 28, 2014",Midwest,Regional Semifinal,69,False,5,"Indianapolis, IN",Kentucky,8,Louisville,4
2014,"March 28, 2014",Midwest,Regional Semifinal,71,False,2,"Indianapolis, IN",Michigan,2,Tennessee,11
2014,"March 28, 2014",East,Regional Semifinal,76,False,5,"New York, NY",UConn,7,Iowa State,3
2014,"March 27, 2014",West,Regional Semifinal,64,False,6,"Anaheim, CA",Arizona,1,San Diego State,4
2014,"March 27, 2014",South,Regional Semifinal,68,False,11,"Memphis, TN",Florida,1,UCLA,4
2014,"March 27, 2014",West,Regional Semifinal,52,False,17,"Anaheim, CA",Wisconsin,2,Baylor,6
2014,"March 27, 2014",South,Regional Semifinal,72,False,10,"Memphis, TN",Dayton,11,Stanford,10
2014,"March 23, 2014",East,Third Round,60,False,18,"Raleigh, NC",Virginia,1,Memphis,8
2014,"March 23, 2014",West,Third Round,61,False,23,"San Diego, CA",Arizona,1,Gonzaga,8
2014,"March 23, 2014",South,Third Round,57,False,3,"St. Louis, MO",Stanford,10,Kansas,2
2014,"March 23, 2014",West,Third Round,55,False,30,"San Antonio, TX",Baylor,6,Creighton,3
2014,"March 23, 2014",East,Third Round,83,False,2,"San Antonio, TX",Iowa State,3,UNC,6
2014,"March 23, 2014",Midwest,Third Round,63,False,20,"Raleigh, NC",Tennessee,11,Mercer,14
2014,"March 23, 2014",South,Third Round,60,False,17,"San Diego, CA",UCLA,4,Stephen F. Austin,12
2014,"March 23, 2014",Midwest,Third Round,76,False,2,"St. Louis, MO",Kentucky,8,Wichita State,1
2014,"March 22, 2014",West,Third Round,44,False,19,"Spokane, WA",San Diego State,4,North Dakota State,12
2014,"March 22, 2014",South,Third Round,45,False,16,"Orlando, FL",Florida,1,Pitt,9
2014,"March 22, 2014",Midwest,Third Round,51,False,15,"Orlando, FL",Louisville,4,Saint Louis,5
2014,"March 22, 2014",East,Third Round,73,False,7,"Spokane, WA",Michigan State,4,Harvard,12
2014,"March 22, 2014",West,Third Round,77,False,8,"Milwaukee, WI",Wisconsin,2,Oregon,7
2014,"March 22, 2014",South,Third Round,53,False,2,"Buffalo, NY",Dayton,11,Syracuse,3
2014,"March 22, 2014",Midwest,Third Round,65,False,14,"Milwaukee, WI",Michigan,2,Texas,7
2014,"March 22, 2014",East,Third Round,65,False,12,"Buffalo, NY",UConn,7,Villanova,2
2014,"March 21, 2014",Midwest,Second Round,37,False,27,"St. Louis, MO",Wichita State,1,Cal Poly,16
2014,"March 21, 2014",West,Second Round,59,False,9,"San Diego, CA",Arizona,1,Weber State,16
2014,"March 21, 2014",West,Second Round,60,False,14,"San Antonio, TX",Baylor,6,Nebraska,11
2014,"March 21, 2014",South,Second Round,75,True,2,"San Diego, CA",Stephen F. Austin,12,VCU,5
2014,"March 21, 2014",East,Second Round,66,False,5,"Raleigh, NC",Memphis,8,George Washington,9
2014,"March 21, 2014",Midwest,Second Round,71,False,7,"Raleigh, NC",Mercer,14,Duke,3
2014,"March 21, 2014",Midwest,Second Round,67,False,19,"Raleigh, NC",Tennessee,11,UMass,6
2014,"March 21, 2014",Midwest,Second Round,49,False,7,"St. Louis, MO",Kentucky,8,Kansas State,9
2014,"March 21, 2014",West,Second Round,77,False,8,"San Diego, CA",Gonzaga,8,Oklahoma State,9
2014,"March 21, 2014",South,Second Round,69,False,11,"St. Louis, MO",Kansas,2,Eastern Kentucky,15
2014,"March 21, 2014",East,Second Round,59,False,11,"Raleigh, NC",Virginia,1,Coastal Carolina,16
2014,"March 21, 2014",South,Second Round,53,False,5,"St. Louis, MO",Stanford,10,New Mexico,7
2014,"March 21, 2014",West,Second Round,66,False,10,"San Antonio, TX",Creighton,3,Louisiana,14
2014,"March 21, 2014",East,Second Round,75,False,18,"San Antonio, TX",Iowa State,3,North Carolina Central,14
2014,"March 21, 2014",East,Second Round,77,False,2,"San Antonio, TX",UNC,6,Providence,11
2014,"March 21, 2014",South,Second Round,59,False,17,"San Diego, CA",UCLA,4,Tulsa,13
2014,"March 20, 2014",South,Second Round,48,False,29,"Orlando, FL",Pitt,9,Colorado,8
2014,"March 20, 2014",South,Second Round,53,False,24,"Buffalo, NY",Syracuse,3,Western Michigan,14
2014,"March 20, 2014",West,Second Round,75,True,5,"Spokane, WA",North Dakota State,12,Oklahoma,5
2014,"March 20, 2014",Midwest,Second Round,85,False,2,"Milwaukee, WI",Texas,7,Arizona State,10
2014,"March 20, 2014",East,Second Round,81,True,8,"Buffalo, NY",UConn,7,St. Joseph's,10
2014,"March 20, 2014",West,Second Round,68,False,19,"Milwaukee, WI",Oregon,7,BYU,10
2014,"March 20, 2014",East,Second Round,57,False,4,"Spokane, WA",Harvard,12,Cincinnati,5
2014,"March 20, 2014",West,Second Round,69,True,4,"Spokane, WA",San Diego State,4,New Mexico State,13
2014,"March 20, 2014",Midwest,Second Round,40,False,17,"Milwaukee, WI",Michigan,2,Wofford,15
2014,"March 20, 2014",East,Second Round,53,False,20,"Buffalo, NY",Villanova,2,Milwaukee,15
2014,"March 20, 2014",South,Second Round,55,False,12,"Orlando, FL",Florida,1,Albany (NY),16
2014,"March 20, 2014",Midwest,Second Round,64,False,7,"Orlando, FL",Louisville,4,Manhattan,13
2014,"March 20, 2014",South,Second Round,59,False,1,"Buffalo, NY",Dayton,11,Ohio State,6
2014,"March 20, 2014",Midwest,Second Round,80,True,3,"Orlando, FL",Saint Louis,5,NC State,12
2014,"March 20, 2014",West,Second Round,35,False,40,"Milwaukee, WI",Wisconsin,2,American,15
2014,"March 20, 2014",East,Second Round,78,False,15,"Spokane, WA",Michigan State,4,Delaware,13
2014,"March 19, 2014",Midwest,First Round,69,False,12,"Dayton, OH",Cal Poly,16,Texas Southern,16
2014,"March 19, 2014",Midwest,First Round,65,True,13,"Dayton, OH",Tennessee,11,Iowa,11
2014,"March 18, 2014",Midwest,First Round,59,False,15,"Dayton, OH",NC State,12,Xavier,12
2014,"March 18, 2014",South,First Round,64,False,7,"Dayton, OH",Albany (NY),16,Mount St. Mary's,16
2013,"April 8, 2013",National,National Final,76,False,6,"Atlanta, GA",Louisville,1,Michigan,4
2013,"April 6, 2013",National,National Semifinal,56,False,5,"Atlanta, GA",Michigan,4,Syracuse,4
2013,"April 6, 2013",National,National Semifinal,68,False,4,"Atlanta, GA",Louisville,1,Wichita State,9
2013,"March 31, 2013",South,Regional Final,59,False,20,"Arlington, TX",Michigan,4,Florida,3
2013,"March 31, 2013",Midwest,Regional Final,63,False,22,"Indianapolis, IN",Louisville,1,Duke,2
2013,"March 30, 2013",East,Regional Final,39,False,16,"Washington, DC",Syracuse,4,Marquette,3
2013,"March 30, 2013",West,Regional Final,66,False,4,"Los Angeles, CA",Wichita State,9,Ohio State,2
2013,"March 29, 2013",South,Regional Semifinal,85,True,2,"Arlington, TX",Michigan,4,Kansas,1
2013,"March 29, 2013",South,Regional Semifinal,50,False,12,"Arlington, TX",Florida,3,Florida Gulf Coast,15
2013,"March 29, 2013",Midwest,Regional Semifinal,69,False,8,"Indianapolis, IN",Louisville,1,Oregon,12
2013,"March 29, 2013",Midwest,Regional Semifinal,61,False,10,"Indianapolis, IN",Duke,2,Michigan State,3
2013,"March 28, 2013",West,Regional Semifinal,58,False,14,"Los Angeles, CA",Wichita State,9,La Salle,13
2013,"March 28, 2013",East,Regional Semifinal,61,False,10,"Washington, DC",Marquette,3,Miami (FL),2
2013,"March 28, 2013",East,Regional Semifinal,50,False,11,"Washington, DC",Syracuse,4,Indiana,1
2013,"March 28, 2013",West,Regional Semifinal,70,False,3,"Los Angeles, CA",Ohio State,2,Arizona,6
2013,"March 24, 2013",East,Third Round,59,False,4,"Austin, TX",Miami (FL),2,Illinois,7
2013,"March 24, 2013",South,Third Round,71,False,10,"Philadelphia, PA",Florida Gulf Coast,15,San Diego State,7
2013,"March 24, 2013",South,Third Round,64,False,14,"Austin, TX",Florida,3,Minnesota,11
2013,"March 24, 2013",East,Third Round,52,False,6,"Dayton, OH",Indiana,1,Temple,9
2013,"March 24, 2013",Midwest,Third Round,50,False,16,"Philadelphia, PA",Duke,2,Creighton,7
2013,"March 24, 2013",West,Third Round,74,False,2,"Kansas City, MO",La Salle,13,Ole Miss,12
2013,"March 24, 2013",South,Third Round,58,False,12,"Kansas City, MO",Kansas,1,UNC,8
2013,"March 24, 2013",West,Third Round,75,False,3,"Dayton, OH",Ohio State,2,Iowa State,10
2013,"March 23, 2013",East,Third Round,72,False,2,"Lexington, KY",Marquette,3,Butler,6
2013,"March 23, 2013",East,Third Round,60,False,6,"San Jose, CA",Syracuse,4,California,12
2013,"March 23, 2013",Midwest,Third Round,56,False,26,"Lexington, KY",Louisville,1,Colorado State,8
2013,"March 23, 2013",Midwest,Third Round,48,False,22,"Auburn Hills, MI",Michigan State,3,Memphis,6
2013,"March 23, 2013",Midwest,Third Round,57,False,17,"San Jose, CA",Oregon,12,Saint Louis,4
2013,"March 23, 2013",West,Third Round,51,False,23,"Salt Lake City, UT",Arizona,6,Harvard,14
2013,"March 23, 2013",South,Third Round,53,False,25,"Auburn Hills, MI",Michigan,4,VCU,5
2013,"March 23, 2013",West,Third Round,70,False,6,"Salt Lake City, UT",Wichita State,9,Gonzaga,1
2013,"March 22, 2013",South,Second Round,47,False,32,"Austin, TX",Florida,3,Northwestern State,14
2013,"March 22, 2013",Midwest,Second Round,63,False,4,"Philadelphia, PA",Creighton,7,Cincinnati,10
2013,"March 22, 2013",South,Second Round,71,False,7,"Kansas City, MO",UNC,8,Villanova,9
2013,"March 22, 2013",Midwest,Second Round,61,False,12,"Philadelphia, PA",Duke,2,Albany (NY),15
2013,"March 22, 2013",South,Second Round,47,False,32,"Austin, TX",Florida,3,Northwestern State,14
2013,"March 22, 2013",South,Second Round,68,False,10,"Philadelphia, PA",Florida Gulf Coast,15,Georgetown,2
2013,"March 22, 2013",South,Second Round,55,False,15,"Philadelphia, PA",San Diego State,7,Oklahoma,10
2013,"March 22, 2013",West,Second Round,46,False,11,"Kansas City, MO",Ole Miss,12,Wisconsin,5
2013,"March 22, 2013",South,Second Round,63,False,20,"Austin, TX",Minnesota,11,UCLA,6
2013,"March 22, 2013",East,Second Round,49,False,8,"Austin, TX",Illinois,7,Colorado,10
2013,"March 22, 2013",East,Second Round,62,False,21,"Dayton, OH",Indiana,1,James Madison,16
2013,"March 22, 2013",West,Second Round,58,False,18,"Dayton, OH",Iowa State,10,Notre Dame,7
2013,"March 22, 2013",South,Second Round,57,False,7,"Kansas City, MO",Kansas,1,Western Kentucky,16
2013,"March 22, 2013",West,Second Round,61,False,2,"Kansas City, MO",La Salle,13,Kansas State,4
2013,"March 22, 2013",East,Second Round,49,False,29,"Austin, TX",Miami (FL),2,Pacific,15
2013,"March 22, 2013",East,Second Round,72,False,4,"Dayton, OH",Temple,9,NC State,8
2013,"March 21, 2013",Midwest,Second Round,55,False,13,"San Jose, CA",Oregon,12,Oklahoma State,5
2013,"March 21, 2013",West,Second Round,64,False,17,"Salt Lake City, UT",Arizona,6,Belmont,11
2013,"March 21, 2013",East,Second Round,56,False,12,"Lexington, KY",Butler,6,Bucknell,11
2013,"March 21, 2013",East,Second Round,61,False,3,"San Jose, CA",California,12,UNLV,5
2013,"March 21, 2013",Midwest,Second Round,72,False,12,"Lexington, KY",Colorado State,8,Missouri,9
2013,"March 21, 2013",West,Second Round,55,False,18,"Salt Lake City, UT",Wichita State,9,Pitt,8
2013,"March 21, 2013",South,Second Round,42,False,46,"Auburn Hills, MI",VCU,5,Akron,12
2013,"March 21, 2013",Midwest,Second Round,44,False,20,"San Jose, CA",Saint Louis,4,New Mexico State,13
2013,"March 21, 2013",West,Second Round,58,False,6,"Salt Lake City, UT",Gonzaga,1,Southern,16
2013,"March 21, 2013",West,Second Round,62,False,6,"Salt Lake City, UT",Harvard,14,New Mexico,3
2013,"March 21, 2013",Midwest,Second Round,54,False,11,"Auburn Hills, MI",Michigan State,3,Valparaiso,14
2013,"March 21, 2013",South,Second Round,56,False,15,"Auburn Hills, MI",Michigan,4,South Dakota State,13
2013,"March 21, 2013",Midwest,Second Round,52,False,2,"Auburn Hills, MI",Memphis,6,Saint Mary's,11
2013,"March 21, 2013",Midwest,Second Round,48,False,31,"Lexington, KY",Louisville,1,North Carolina A&T,16
2013,"March 21, 2013",East,Second Round,34,False,47,"San Jose, CA",Syracuse,4,Montana,13
2013,"March 21, 2013",East,Second Round,58,False,1,"Lexington, KY",Marquette,3,Davidson,14
2013,"March 20, 2013",East,First Round,55,False,13,"Dayton, OH",James Madison,16,LIU,16
2013,"March 20, 2013",West,First Round,71,False,9,"Dayton, OH",La Salle,13,Boise State,13
2013,"March 19, 2013",Midwest,First Round,72,False,1,"Dayton, OH",North Carolina A&T,16,Liberty,16
2013,"March 19, 2013",Midwest,First Round,54,False,13,"Dayton, OH",Saint Mary's,11,Middle Tennessee,11
2012,"April 2, 2012",National,National Final,59,False,8,"New Orleans, LA",Kentucky,1,Kansas,2
2012,"March 31, 2012",National,National Semifinal,62,False,2,"New Orleans, LA",Kansas,2,Ohio State,2
2012,"March 31, 2012",National,National Semifinal,61,False,8,"New Orleans, LA",Kentucky,1,Louisville,4
2012,"March 25, 2012",Midwest,Regional Final,67,False,13,"St. Louis, MO",Kansas,2,UNC,1
2012,"March 25, 2012",South,Regional Final,70,False,12,"Atlanta, GA",Kentucky,1,Baylor,3
2012,"March 24, 2012",East,Regional Final,70,False,7,"Boston, MA",Ohio State,2,Syracuse,1
