ATeam,ASeed,BTeam,BSeed,ARk,AAdjEM,AAdjO,AStrength_of_Schedule_AdjD,ANCSOS_AdjT,AW,AL,BRk,BAdjEM,BAdjO,BStrength_of_Schedule_AdjD,BNCSOS_AdjT,BW,BL,A_g,A_mp_per_g,A_fg_per_g,A_fga_per_g,A_fg_pct,A_fg2_per_g,A_fg2a_per_g,A_fg2_pct,A_fg3_per_g,A_fg3a_per_g,A_fg3_pct,A_ft_per_g,A_fta_per_g,A_ft_pct,A_orb_per_g,A_drb_per_g,A_trb_per_g,A_ast_per_g,A_stl_per_g,A_blk_per_g,A_tov_per_g,A_pf_per_g,A_pts_per_g,B_g,B_mp_per_g,B_fg_per_g,B_fga_per_g,B_fg_pct,B_fg2_per_g,B_fg2a_per_g,B_fg2_pct,B_fg3_per_g,B_fg3a_per_g,B_fg3_pct,B_ft_per_g,B_fta_per_g,B_ft_pct,B_orb_per_g,B_drb_per_g,B_trb_per_g,B_ast_per_g,B_stl_per_g,B_blk_per_g,B_tov_per_g,B_pf_per_g,B_pts_per_g
Baylor,1,Saint Mary's,5,5,26.32,117.9,9,91.6,26,6,16,19.81,109.8,63,90.0,25,7,32,40.2,28.2,60.9,0.464,20.3,37.9,0.535,7.9,23.0,0.346,12.1,17.4,0.698,12.8,24.4,37.1,15.8,8.8,3.4,12.5,15.8,76.5,32,40.0,26.2,56.4,0.463,19.0,36.0,0.528,7.2,20.4,0.35,10.3,13.5,0.762,8.6,25.2,33.8,13.4,7.0,2.6,11.3,15.6,69.8
Gonzaga,1,Arkansas,4,1,32.97,121.8,1,88.8,26,3,20,19.02,111.1,40,92.1,25,8,29,40.0,32.9,62.4,0.527,24.6,40.3,0.609,8.4,22.1,0.379,13.6,18.6,0.73,9.4,32.1,41.5,18.2,6.7,5.9,11.8,15.4,87.8,33,40.3,26.6,60.6,0.44,20.3,39.8,0.509,6.4,20.8,0.307,17.3,23.0,0.753,11.2,26.9,38.2,14.1,7.7,4.2,12.6,16.8,76.9
Tennessee,3,Villanova,2,7,25.24,111.4,36,86.2,26,7,11,24.11,118.0,8,93.8,26,7,33,40.3,25.9,60.2,0.43,17.1,35.7,0.479,8.8,24.4,0.359,12.7,17.8,0.712,11.9,25.2,37.1,16.1,9.3,4.4,12.4,17.0,73.2,33,40.2,24.6,56.3,0.437,15.3,30.4,0.503,9.3,25.9,0.359,14.1,17.2,0.823,10.2,24.7,34.9,12.1,6.2,2.2,10.0,15.2,72.6
Arizona,1,Houston,5,2,27.21,119.6,5,92.4,31,3,4,26.5,117.3,10,90.9,29,5,34,40.1,30.4,61.4,0.496,22.7,39.4,0.575,7.8,21.9,0.354,15.9,21.6,0.738,11.4,29.9,41.4,19.9,6.7,5.7,13.2,16.5,84.6,34,40.4,28.1,60.0,0.469,20.1,36.6,0.551,8.0,23.5,0.341,11.5,17.2,0.669,13.4,25.9,39.2,16.7,8.2,5.2,11.3,17.4,75.8
Texas Tech,3,Duke,2,9,24.64,109.7,65,85.1,25,9,12,23.71,119.4,7,95.7,28,6,34,40.4,25.9,55.2,0.47,19.9,36.2,0.551,6.0,19.0,0.314,13.9,19.9,0.699,10.6,25.9,36.5,13.6,8.2,3.5,13.9,16.2,71.7,34,40.1,29.7,60.7,0.489,21.5,38.5,0.558,8.2,22.2,0.368,12.6,17.4,0.729,10.7,27.6,38.3,16.9,6.5,5.5,10.2,13.6,80.2
Kansas,1,Iowa,5,6,25.49,119.4,6,93.9,28,6,13,23.53,121.5,2,98.0,26,9,34,40.4,28.6,59.6,0.481,21.5,39.4,0.545,7.1,20.1,0.355,14.1,19.5,0.724,11.1,26.3,37.4,15.4,6.4,4.1,12.5,15.9,78.6,35,40.3,29.9,64.5,0.464,20.6,39.2,0.526,9.3,25.2,0.368,14.7,19.6,0.749,11.8,25.4,37.3,16.1,7.4,4.4,9.2,16.1,83.8
LSU,6,Auburn,2,19,19.08,107.6,89,88.6,22,11,10,24.45,113.6,24,89.1,27,5,33,40.3,26.1,59.4,0.44,19.6,38.8,0.504,6.5,20.5,0.319,14.3,19.6,0.732,12.1,24.8,36.9,12.7,11.1,4.4,14.5,19.3,73.1,32,40.6,27.9,63.6,0.44,19.8,38.2,0.519,8.1,25.4,0.32,14.7,20.1,0.733,12.5,27.5,39.9,14.6,8.8,7.9,12.1,18.5,78.7
Virginia Tech,11,Kentucky,2,23,17.86,114.3,18,96.4,23,12,3,26.59,120.2,4,93.6,26,7,35,40.1,26.0,55.3,0.471,17.0,32.3,0.526,9.0,22.9,0.393,9.7,13.1,0.743,8.6,23.6,32.2,14.4,5.4,3.2,10.8,14.7,70.7,33,40.2,30.4,62.8,0.485,24.3,45.2,0.537,6.2,17.6,0.349,12.5,17.1,0.73,12.9,27.3,40.3,16.1,6.8,4.2,11.5,14.2,79.5
