Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
Boston College Eagles,33,40.3,25.5,53.4,0.478,19.6,36.4,0.538,5.9,17.0,0.349,17.4,24.0,0.724,11.9,22.7,34.6,14.6,5.7,5.8,13.8,15.3,74.3,2007
Texas Tech Red Raiders,34,40.3,24.8,54.6,0.453,18.6,39.8,0.469,6.1,14.9,0.412,16.0,21.7,0.739,9.4,21.2,30.6,13.3,6.8,1.8,11.6,17.4,71.7,2007
Butler Bulldogs,36,40.7,21.7,49.8,0.435,12.8,25.6,0.498,8.9,24.2,0.369,15.4,20.2,0.76,9.1,20.6,29.7,12.1,5.4,1.8,9.5,19.1,67.6,2007
Old Dominion Monarchs,33,,23.9,55.4,0.431,16.8,34.8,0.481,7.1,20.5,0.347,14.5,20.1,0.722,12.1,24.5,36.6,14.6,7.6,3.5,12.3,18.8,69.4,2007
Georgetown Hoyas,37,40.1,24.9,49.4,0.505,18.6,32.2,0.578,6.4,17.2,0.37,12.8,18.0,0.711,11.1,22.7,33.8,14.7,5.2,5.1,13.4,16.5,69.1,2007
Belmont Bruins,33,40.3,25.7,55.6,0.462,17.0,31.1,0.546,8.7,24.6,0.355,12.3,17.8,0.692,11.3,25.9,37.2,15.5,6.1,3.2,16.0,18.3,72.4,2007
Indiana Hoosiers,32,,24.5,54.8,0.446,16.6,34.2,0.485,7.9,20.7,0.381,13.4,18.8,0.71,11.7,22.1,33.8,13.3,6.4,4.4,12.4,20.5,70.2,2007
Gonzaga Bulldogs,34,40.6,27.4,56.8,0.483,20.7,39.7,0.521,6.8,17.1,0.395,16.8,22.4,0.751,10.4,27.0,37.4,14.5,6.2,3.6,13.9,19.2,78.5,2007
Louisville Cardinals,34,,24.9,57.2,0.434,17.5,35.1,0.498,7.4,22.1,0.333,14.5,21.4,0.678,13.4,23.3,36.7,14.6,7.4,4.2,12.8,20.5,71.6,2007
Stanford Cardinal,31,40.8,25.1,56.1,0.448,19.5,40.0,0.487,5.6,16.1,0.349,13.7,20.2,0.682,12.7,25.7,38.5,14.8,4.6,5.9,14.8,18.4,69.5,2007
Maryland Terrapins,34,40.1,28.6,59.8,0.478,22.8,44.8,0.509,5.8,15.0,0.385,16.1,23.1,0.695,12.9,26.1,39.0,17.3,7.4,6.9,16.0,18.0,79.0,2007
Davidson Wildcats,34,,28.5,63.4,0.449,18.9,37.3,0.505,9.6,26.1,0.369,14.7,19.5,0.753,13.7,26.9,40.5,16.4,8.0,2.7,14.6,17.7,81.3,2007
Michigan State Spartans,35,,23.0,49.1,0.469,17.8,35.2,0.506,5.2,13.9,0.374,13.8,19.2,0.718,11.3,23.5,34.8,16.0,5.1,4.6,14.9,18.6,65.0,2007
Marquette Golden Eagles,34,,25.0,57.4,0.436,18.6,38.2,0.488,6.4,19.1,0.333,15.4,23.0,0.669,14.4,22.4,36.8,14.0,8.7,3.4,14.6,20.3,71.9,2007
UNC Tar Heels,38,,31.2,62.6,0.499,25.6,46.8,0.546,5.7,15.8,0.358,17.6,24.7,0.712,13.7,27.1,40.8,18.3,8.1,4.6,13.8,17.0,85.7,2007
Eastern Kentucky Colonels,33,,23.7,51.2,0.462,15.7,28.3,0.555,8.0,23.0,0.348,9.8,14.4,0.68,8.5,19.7,28.2,14.5,8.0,2.5,13.5,13.6,65.2,2007
Ohio State Buckeyes,39,,26.4,55.8,0.472,19.0,35.5,0.536,7.4,20.4,0.361,14.4,20.4,0.703,11.1,24.5,35.6,14.9,6.8,5.6,11.4,13.7,74.5,2007
Central Connecticut Blue Devils,34,40.1,23.2,53.6,0.434,15.5,33.4,0.466,7.7,20.2,0.381,14.8,20.2,0.73,11.8,22.9,34.7,12.5,6.0,3.4,14.1,16.0,68.9,2007
Pitt Panthers,37,,26.0,55.0,0.472,19.8,38.8,0.51,6.2,16.2,0.382,13.1,19.9,0.661,12.0,23.6,35.7,17.5,5.2,3.6,11.9,16.6,71.3,2007
Wright State Raiders,33,40.5,23.2,53.0,0.438,17.8,37.3,0.476,5.5,15.7,0.347,12.5,17.1,0.732,10.1,22.0,32.1,12.2,5.9,1.5,12.1,17.4,64.4,2007
Texas A&M Aggies,34,40.3,26.7,53.6,0.498,20.4,38.6,0.528,6.3,15.0,0.422,15.9,22.1,0.716,10.1,25.4,35.6,17.4,6.6,3.3,12.2,19.5,75.6,2007
Penn Quakers,31,,27.0,55.2,0.488,20.9,38.5,0.544,6.1,16.8,0.362,14.1,21.2,0.664,10.5,22.6,33.0,17.4,8.5,3.0,14.0,18.5,74.1,2007
UCLA Bruins,36,,26.3,55.2,0.477,19.5,36.9,0.53,6.8,18.3,0.371,11.9,17.9,0.666,10.7,22.2,32.9,14.4,7.5,3.2,12.3,16.5,71.4,2007
Weber State Wildcats,32,,24.1,49.3,0.489,18.5,35.1,0.527,5.6,14.3,0.395,16.9,25.2,0.672,9.6,23.2,32.8,13.7,6.6,2.4,16.1,19.1,70.8,2007
Vanderbilt Commodores,34,,26.6,58.4,0.456,17.3,33.6,0.514,9.3,24.8,0.376,13.8,18.9,0.729,10.2,23.5,33.7,17.0,7.6,2.7,12.4,17.2,76.3,2007
George Washington Colonials,32,40.0,25.8,56.2,0.458,20.4,41.7,0.49,5.3,14.5,0.368,13.4,19.1,0.7,12.2,21.9,34.1,14.4,9.1,4.4,13.9,18.8,70.2,2007
VCU Rams,35,,25.7,56.3,0.457,18.8,38.9,0.482,7.0,17.4,0.401,16.6,22.8,0.728,12.2,21.1,33.3,13.6,7.7,3.0,11.3,18.4,75.0,2007
Duke Blue Devils,33,40.5,24.9,53.2,0.469,18.9,37.4,0.506,6.0,15.8,0.381,14.6,21.2,0.689,11.5,23.8,35.3,13.1,7.3,4.8,15.4,17.5,70.4,2007
Washington State Cougars,34,,24.3,52.3,0.465,18.5,36.8,0.504,5.8,15.5,0.372,12.5,17.4,0.717,8.0,22.7,30.7,13.9,6.6,4.6,10.4,16.1,66.9,2007
Oral Roberts Golden Eagles,34,40.3,24.2,52.0,0.466,18.2,35.4,0.516,6.0,16.6,0.361,17.3,24.3,0.711,10.9,24.5,35.4,13.5,6.2,4.5,15.1,17.7,71.8,2007
Xavier Musketeers,34,40.1,25.0,52.5,0.476,17.1,32.2,0.53,7.9,20.3,0.39,18.5,24.9,0.741,10.8,22.9,33.7,14.9,5.6,3.5,12.6,17.8,76.3,2007
BYU Cougars,34,,28.6,58.3,0.491,21.1,40.1,0.525,7.5,18.1,0.415,13.4,20.2,0.66,12.2,25.3,37.4,15.9,6.0,3.5,13.4,19.5,78.1,2007
Arizona Wildcats,33,40.8,27.5,61.7,0.446,23.2,48.2,0.482,4.3,13.5,0.319,14.3,20.2,0.709,13.7,20.8,34.5,14.9,9.8,3.8,13.2,16.6,73.7,2006
Wisconsin Badgers,31,40.3,25.0,57.9,0.432,18.6,39.5,0.472,6.4,18.5,0.347,14.6,22.1,0.664,12.9,23.4,36.3,13.6,5.3,3.4,11.6,17.2,71.1,2006
Bradley Braves,33,,25.7,58.6,0.439,20.1,41.9,0.48,5.6,16.7,0.336,14.5,20.2,0.718,12.7,24.9,37.6,16.2,8.9,4.6,15.1,18.6,71.5,2006
Kansas Jayhawks,33,40.2,27.6,58.3,0.474,21.4,41.9,0.511,6.2,16.3,0.38,13.7,20.3,0.672,13.1,26.4,39.5,17.8,9.8,5.6,15.6,18.2,75.2,2006
Bucknell Bison,32,40.3,22.7,48.8,0.465,16.6,33.0,0.501,6.1,15.7,0.39,14.6,20.9,0.696,9.6,22.6,32.3,14.3,8.7,1.7,14.8,17.5,66.1,2006
Arkansas Razorbacks,32,40.3,26.3,57.4,0.458,20.7,40.8,0.508,5.6,16.7,0.336,15.6,22.5,0.692,12.2,22.8,34.9,15.5,8.3,6.1,13.4,16.9,73.7,2006
UConn Huskies,34,40.6,29.1,61.4,0.473,23.5,46.3,0.508,5.5,15.1,0.366,18.1,25.7,0.706,15.7,28.1,43.8,15.9,6.6,8.8,14.4,15.6,81.8,2006
Albany (NY) Great Danes,32,40.5,23.2,51.9,0.448,16.3,33.5,0.486,7.0,18.4,0.379,15.2,21.3,0.711,10.9,22.8,33.7,12.6,6.5,2.5,14.1,18.9,68.6,2006
George Mason Patriots,35,,25.6,53.2,0.481,19.7,36.7,0.538,5.9,16.5,0.356,12.3,18.5,0.664,10.1,24.8,34.9,14.5,7.1,3.5,12.8,15.1,69.4,2006
Michigan State Spartans,34,40.9,26.4,55.3,0.477,20.4,39.4,0.517,6.0,15.9,0.378,15.4,20.0,0.769,11.0,24.7,35.6,16.7,6.3,3.0,14.1,18.4,74.1,2006
Georgetown Hoyas,33,40.3,23.8,51.0,0.468,17.1,31.9,0.535,6.8,19.0,0.355,11.5,16.3,0.706,10.7,22.0,32.7,15.6,6.0,3.6,11.5,14.7,66.0,2006
Northern Iowa Panthers,33,41.1,22.8,50.4,0.454,16.2,30.9,0.525,6.6,19.5,0.341,13.3,18.4,0.72,8.5,24.9,33.3,13.3,5.4,3.8,12.2,14.5,65.6,2006
Kentucky Wildcats,35,40.0,25.8,57.7,0.447,18.2,36.1,0.506,7.6,21.7,0.35,11.6,17.2,0.676,12.8,23.3,36.1,14.1,5.9,3.0,13.3,17.0,70.8,2006
UAB Blazers,31,40.0,26.5,58.6,0.453,19.4,37.7,0.513,7.2,20.9,0.343,14.2,21.9,0.647,10.9,20.5,31.3,15.5,10.9,3.6,12.7,18.1,74.4,2006
Memphis Tigers,37,,27.9,61.9,0.451,20.5,40.8,0.502,7.5,21.2,0.354,16.6,24.4,0.682,15.4,25.9,41.3,15.3,9.8,6.4,15.5,20.5,80.0,2006
Oral Roberts Golden Eagles,33,,26.2,57.1,0.46,19.6,40.1,0.49,6.6,17.0,0.389,15.8,22.3,0.709,13.2,23.6,36.8,16.0,6.7,4.2,14.3,17.7,74.9,2006
UNC Tar Heels,31,40.0,27.8,58.4,0.477,20.9,39.9,0.524,6.9,18.5,0.375,16.7,23.6,0.708,13.9,26.0,39.9,17.8,7.8,4.1,16.5,17.1,79.4,2006
Murray State Racers,31,40.5,26.1,57.9,0.45,18.6,36.9,0.506,7.4,21.0,0.353,11.5,17.7,0.651,13.2,23.6,36.8,15.6,8.1,4.7,12.5,18.3,71.1,2006
NC State Wolfpack,32,40.9,24.8,53.3,0.465,15.8,29.0,0.545,9.0,24.3,0.371,15.9,21.2,0.751,8.9,23.9,32.8,15.6,7.3,4.7,13.6,17.7,74.5,2006
California Golden Bears,31,40.8,23.1,51.5,0.449,17.7,37.0,0.478,5.5,14.6,0.374,16.9,23.1,0.733,9.7,22.6,32.3,13.0,5.2,2.7,12.4,16.7,68.6,2006
Northwestern State Demons,34,,26.9,58.3,0.461,20.2,40.1,0.504,6.6,18.1,0.367,15.3,22.9,0.666,13.5,22.5,36.0,17.3,9.2,3.3,15.7,20.5,75.7,2006
Iowa Hawkeyes,34,40.6,23.0,53.3,0.431,17.4,36.5,0.475,5.6,16.8,0.335,14.7,20.8,0.71,10.9,26.9,37.8,14.8,6.6,4.9,14.9,15.2,66.3,2006
Ohio State Buckeyes,32,40.5,26.0,56.0,0.465,17.8,33.5,0.532,8.2,22.4,0.365,13.6,18.9,0.718,10.0,24.0,34.0,15.3,6.8,2.8,11.8,15.3,73.8,2006
Davidson Wildcats,31,,27.6,60.8,0.454,18.6,36.6,0.51,8.9,24.2,0.369,13.4,17.6,0.761,12.7,26.5,39.2,18.3,4.9,1.6,12.9,18.4,77.5,2006
Pitt Panthers,33,40.3,25.5,55.8,0.456,19.2,38.1,0.504,6.2,17.7,0.352,15.3,22.1,0.693,12.8,26.0,38.8,16.4,6.2,3.9,13.7,17.1,72.5,2006
Kent State Golden Flashes,34,40.4,24.8,55.5,0.447,17.9,36.1,0.495,7.0,19.4,0.359,15.7,21.9,0.715,11.1,22.1,33.2,13.3,7.8,2.4,13.3,20.1,72.3,2006
Texas Longhorns,37,40.1,26.6,57.6,0.461,19.3,38.1,0.506,7.3,19.5,0.373,14.8,20.3,0.727,14.0,26.5,40.5,14.8,8.0,5.0,13.5,15.2,75.2,2006
Penn Quakers,29,40.5,24.5,55.0,0.445,17.7,34.1,0.52,6.8,20.9,0.323,12.8,19.0,0.675,10.4,21.3,31.7,14.2,9.8,2.7,13.2,18.3,68.5,2006
Villanova Wildcats,33,40.3,24.5,58.8,0.417,15.8,35.5,0.444,8.7,23.3,0.375,16.5,21.7,0.757,13.9,22.4,36.3,12.2,7.8,4.8,11.2,18.6,74.2,2006
Monmouth Hawks,34,,23.1,52.5,0.441,16.8,33.6,0.5,6.4,18.9,0.337,11.8,17.6,0.67,8.7,24.1,32.8,14.8,7.5,3.6,15.0,16.8,64.4,2006
West Virginia Mountaineers,33,40.2,25.3,56.8,0.445,15.1,27.5,0.548,10.2,29.3,0.349,9.9,13.3,0.745,7.8,19.9,27.7,17.5,8.1,2.8,8.7,12.7,70.7,2006
Southern Illinois Salukis,33,,21.4,51.9,0.412,15.9,35.3,0.449,5.5,16.6,0.334,12.0,17.5,0.686,11.6,20.9,32.5,12.2,8.4,3.2,14.3,19.8,60.4,2006
Alabama Crimson Tide,31,40.3,24.5,53.6,0.456,18.8,37.3,0.505,5.6,16.3,0.345,15.7,22.2,0.708,12.5,24.1,36.6,12.2,6.3,4.9,13.6,14.0,70.3,2006
Marquette Golden Eagles,31,40.3,26.8,58.8,0.455,18.3,37.4,0.489,8.5,21.4,0.397,13.0,17.7,0.732,12.2,23.7,35.9,15.5,7.5,3.0,14.8,19.3,75.0,2006
Boston College Eagles,36,,26.4,54.4,0.485,20.5,38.1,0.538,5.9,16.3,0.361,15.6,23.1,0.675,12.9,22.5,35.5,17.8,6.2,4.5,13.1,16.3,74.2,2006
Pacific Tigers,32,,26.8,55.1,0.487,20.1,37.8,0.531,6.7,17.3,0.389,13.9,18.7,0.746,10.0,25.5,35.5,16.1,5.9,2.1,13.1,15.7,74.3,2006
Duke Blue Devils,36,40.1,27.2,55.9,0.487,19.6,36.2,0.541,7.6,19.7,0.386,19.1,25.1,0.761,9.7,23.7,33.4,15.2,9.4,5.6,13.8,17.3,81.1,2006
Southern Jaguars,33,,23.8,54.4,0.438,19.5,40.8,0.478,4.3,13.6,0.319,11.4,17.6,0.647,12.8,24.6,37.4,11.8,7.5,3.7,17.0,17.4,63.4,2006
Florida Gators,39,40.1,27.2,54.4,0.5,19.8,35.4,0.559,7.4,18.9,0.392,16.4,22.1,0.744,10.8,25.2,35.9,16.7,7.6,5.3,14.4,16.0,78.3,2006
South Alabama Jaguars,31,40.2,25.7,56.8,0.453,17.1,33.3,0.514,8.6,23.5,0.367,13.6,19.4,0.703,11.2,22.7,33.8,14.1,8.5,1.4,13.4,18.6,73.6,2006
George Washington Colonials,30,,28.2,60.5,0.466,22.1,43.4,0.509,6.1,17.0,0.356,16.3,25.2,0.646,14.0,24.1,38.1,17.0,9.3,4.5,14.0,18.4,78.7,2006
UNC Wilmington Seahawks,33,,24.5,56.6,0.432,17.9,37.2,0.481,6.5,19.4,0.338,12.7,18.2,0.699,11.8,24.3,36.1,15.3,7.5,1.7,12.5,20.7,68.2,2006
Gonzaga Bulldogs,33,,27.2,56.9,0.477,21.7,41.8,0.518,5.5,15.2,0.364,20.2,25.8,0.782,12.5,25.1,37.5,13.9,7.1,2.8,13.2,18.9,80.1,2006
Xavier Musketeers,32,40.2,24.3,52.7,0.462,17.5,34.3,0.51,6.8,18.4,0.371,16.1,22.3,0.724,10.6,24.5,35.0,15.7,6.2,4.8,12.8,17.8,71.6,2006
Illinois Fighting Illini,33,40.0,25.7,56.2,0.458,18.4,35.9,0.512,7.3,20.2,0.361,11.3,17.6,0.643,12.2,23.5,35.7,15.2,6.2,2.4,12.3,17.7,70.0,2006
Air Force Falcons,31,40.0,22.0,45.6,0.483,13.1,23.5,0.558,8.9,22.1,0.404,11.2,15.1,0.745,6.6,18.0,24.6,14.4,8.0,2.2,10.8,15.2,64.2,2006
Indiana Hoosiers,31,40.0,25.7,55.8,0.461,16.8,33.3,0.505,8.9,22.5,0.395,11.6,16.9,0.69,10.3,23.7,34.0,15.0,6.3,2.3,14.4,18.5,72.0,2006
San Diego State Aztecs,33,40.3,25.4,55.2,0.46,18.8,38.4,0.489,6.7,16.8,0.396,16.9,23.2,0.728,13.0,22.6,35.6,13.1,7.6,3.1,15.1,16.5,74.4,2006
LSU Fighting Tigers,36,40.3,27.0,58.1,0.465,22.9,45.5,0.504,4.1,12.6,0.324,15.1,21.8,0.69,13.8,26.4,40.2,15.2,8.3,6.6,15.4,15.8,73.1,2006
Iona Gaels,31,40.2,28.4,59.2,0.48,22.1,43.5,0.509,6.3,15.7,0.402,16.7,24.1,0.691,13.3,23.5,36.8,15.5,7.7,4.1,15.1,18.6,79.8,2006
Milwaukee Panthers,31,40.3,25.7,59.1,0.435,19.1,39.5,0.485,6.6,19.6,0.335,16.0,23.2,0.69,14.6,23.6,38.2,12.5,7.0,2.9,13.6,19.2,74.0,2006
Oklahoma Sooners,29,40.0,24.7,54.7,0.451,18.7,38.0,0.492,6.0,16.7,0.359,13.4,18.8,0.714,14.5,22.1,36.6,14.6,7.1,3.4,14.2,17.2,68.8,2006
Montana Grizzlies,31,40.5,28.3,57.5,0.492,20.9,38.4,0.544,7.4,19.0,0.386,15.1,21.1,0.718,11.2,24.1,35.4,18.2,7.4,3.1,13.9,18.2,79.0,2006
Nevada Wolf Pack,33,40.3,26.2,57.6,0.456,20.8,42.5,0.489,5.4,15.1,0.36,14.8,20.7,0.718,12.7,25.7,38.4,15.6,5.4,4.8,12.9,16.3,72.8,2006
Tennessee Volunteers,30,40.0,28.6,61.7,0.464,19.8,39.0,0.509,8.8,22.8,0.387,14.4,20.5,0.701,11.7,21.8,33.5,17.0,10.0,3.3,12.9,18.1,80.4,2006
Winthrop Eagles,31,,25.1,56.0,0.448,17.4,34.7,0.501,7.7,21.2,0.362,15.5,22.5,0.692,13.0,23.4,36.4,15.8,9.6,3.3,14.2,17.1,73.4,2006
Texas A&M Aggies,31,,23.4,52.5,0.446,16.8,34.3,0.491,6.5,18.2,0.361,15.4,22.6,0.679,10.5,21.5,32.0,16.4,8.6,3.0,13.4,21.5,68.7,2006
Syracuse Orange,35,40.4,26.1,59.5,0.438,18.7,37.6,0.496,7.4,21.9,0.339,12.8,19.9,0.643,13.6,24.6,38.2,15.5,8.9,6.3,15.2,17.9,72.4,2006
UCLA Bruins,39,40.1,24.1,50.9,0.473,18.0,33.5,0.539,6.1,17.5,0.346,13.5,19.6,0.691,11.0,22.4,33.4,13.9,5.7,2.8,14.4,16.6,67.7,2006
Belmont Bruins,31,40.6,28.9,58.7,0.493,20.5,36.4,0.564,8.4,22.3,0.377,14.3,20.7,0.691,11.7,23.7,35.5,16.7,7.7,3.5,16.2,19.7,80.6,2006
Washington Huskies,33,40.6,29.8,63.2,0.471,23.1,45.0,0.513,6.7,18.2,0.365,15.8,21.1,0.749,14.4,22.9,37.3,16.0,8.3,3.5,14.7,19.2,82.0,2006
Utah State Aggies,32,40.6,26.7,53.6,0.498,19.4,35.5,0.547,7.3,18.1,0.401,11.5,16.0,0.722,9.5,24.3,33.8,17.3,5.2,2.8,13.2,15.4,72.1,2006
Wichita State Shockers,35,40.6,24.0,54.4,0.441,17.2,35.9,0.48,6.8,18.5,0.366,14.5,20.0,0.724,12.1,25.5,37.6,14.9,5.2,1.8,12.8,15.6,69.2,2006
Seton Hall Pirates,30,40.3,23.1,56.3,0.409,17.3,39.0,0.443,5.8,17.3,0.335,15.8,21.2,0.746,12.5,24.3,36.8,12.4,6.9,2.7,13.4,19.0,67.8,2006
Bucknell Bison,33,40.2,21.3,48.0,0.444,14.7,30.1,0.489,6.6,17.9,0.369,14.3,20.4,0.701,9.3,22.4,31.6,12.6,7.9,2.9,15.4,19.1,63.5,2005
Kansas Jayhawks,30,40.7,26.7,56.1,0.476,20.1,38.2,0.527,6.6,18.0,0.367,15.0,21.6,0.695,11.7,26.0,37.6,16.5,6.6,3.8,14.4,19.1,75.0,2005
UConn Huskies,31,,27.8,60.4,0.46,22.8,44.7,0.511,5.0,15.7,0.317,17.5,24.9,0.7,15.4,30.1,45.5,17.1,6.1,8.9,15.1,15.9,78.0,2005
UCF Knights,33,40.3,23.8,51.6,0.461,15.2,28.6,0.531,8.6,23.0,0.373,13.7,19.7,0.696,12.3,23.3,35.6,15.5,6.7,4.3,15.0,18.8,69.8,2005
Duke Blue Devils,33,,25.8,58.0,0.445,17.1,34.9,0.489,8.8,23.1,0.38,17.7,24.9,0.713,13.1,25.1,38.2,12.8,8.7,6.7,13.8,18.5,78.2,2005
Delaware State Hornets,33,,20.2,48.0,0.421,13.8,29.2,0.471,6.5,18.8,0.342,15.0,20.2,0.743,10.1,17.5,27.6,10.6,8.0,2.8,14.0,16.3,61.9,2005
Florida Gators,32,40.3,26.4,54.7,0.482,18.8,35.2,0.533,7.6,19.6,0.39,15.8,22.4,0.707,11.4,25.6,37.1,14.8,7.1,4.6,13.9,18.7,76.2,2005
Ohio Bobcats,32,40.3,24.2,52.3,0.461,18.5,35.0,0.528,5.7,17.3,0.328,17.5,25.1,0.698,10.9,21.9,32.8,11.7,8.5,2.7,13.2,17.8,71.5,2005
Georgia Tech Yellow Jackets,32,40.3,26.5,58.7,0.452,20.6,40.8,0.504,5.9,17.8,0.333,15.1,21.8,0.691,12.5,26.5,39.0,14.7,8.3,5.1,15.1,20.3,74.1,2005
George Washington Colonials,30,40.2,27.8,58.3,0.476,22.4,43.4,0.515,5.4,14.9,0.362,16.0,23.1,0.693,13.0,23.6,36.6,16.1,9.8,4.3,14.9,17.6,76.9,2005
Iowa State Cyclones,31,40.5,25.3,57.9,0.437,21.6,45.4,0.477,3.6,12.5,0.292,13.9,20.4,0.682,12.1,23.4,35.5,14.3,9.5,3.9,13.1,16.9,68.1,2005
Minnesota Golden Gophers,32,,24.1,53.3,0.452,18.8,38.1,0.493,5.3,15.2,0.349,14.5,20.5,0.706,11.7,22.4,34.1,14.2,9.1,4.5,16.1,16.0,68.0,2005
Louisville Cardinals,38,40.1,26.6,57.0,0.467,17.1,33.1,0.516,9.5,23.8,0.398,18.0,24.9,0.723,12.9,25.9,38.8,15.5,8.6,3.9,14.1,18.4,80.7,2005
Louisiana Ragin' Cajuns,31,,25.9,58.1,0.446,19.5,38.7,0.503,6.5,19.4,0.333,13.9,21.1,0.659,14.1,21.1,35.2,12.1,9.4,2.7,15.5,19.5,72.2,2005
Michigan State Spartans,33,40.5,27.7,56.8,0.487,21.1,38.2,0.552,6.6,18.6,0.356,16.5,21.2,0.777,12.0,24.3,36.3,17.1,7.8,2.6,13.7,19.4,78.5,2005
Old Dominion Monarchs,34,40.1,25.6,57.6,0.444,19.4,39.2,0.494,6.2,18.4,0.337,14.2,20.3,0.699,12.0,24.4,36.4,16.2,9.7,4.4,12.2,17.6,71.5,2005
Mississippi State Bulldogs,34,40.0,25.6,57.6,0.444,19.7,40.2,0.49,5.9,17.4,0.337,15.5,23.3,0.665,14.5,26.4,40.9,14.0,6.8,3.4,14.8,15.6,72.5,2005
Stanford Cardinal,31,40.2,25.0,57.4,0.435,21.0,45.6,0.459,4.0,11.7,0.342,16.2,21.9,0.737,12.3,23.6,35.9,12.0,6.7,2.8,13.8,18.0,70.1,2005
UNC Tar Heels,37,40.0,30.5,61.1,0.499,23.0,42.5,0.541,7.5,18.6,0.403,19.6,27.0,0.725,13.6,26.9,40.5,19.1,9.8,3.8,16.1,17.9,88.0,2005
Oakland Golden Grizzlies,32,40.2,25.3,56.4,0.45,19.1,37.8,0.504,6.3,18.5,0.339,13.9,21.0,0.665,12.0,20.6,32.6,14.8,7.1,2.4,12.2,17.5,70.9,2005
NC State Wolfpack,35,40.0,24.9,54.7,0.455,16.5,32.0,0.515,8.4,22.7,0.37,14.9,21.2,0.705,10.7,21.3,32.0,15.1,7.4,4.5,12.4,18.8,73.1,2005
Charlotte 49ers,29,40.7,26.3,60.9,0.432,18.3,39.2,0.467,8.0,21.7,0.368,17.2,25.2,0.684,14.5,24.1,38.6,14.1,8.7,3.2,13.4,17.1,77.8,2005
Oklahoma State Cowboys,33,40.0,27.6,55.5,0.497,20.3,38.5,0.529,7.3,17.1,0.426,15.8,20.2,0.78,11.3,22.7,34.0,16.8,7.3,2.6,13.7,18.2,78.3,2005
Southeastern Louisiana Lions,33,,23.3,50.3,0.463,19.7,38.9,0.507,3.5,11.4,0.311,13.1,20.2,0.647,10.6,20.2,30.8,11.8,9.1,3.7,13.9,17.4,63.2,2005
Southern Illinois Salukis,35,40.0,25.3,55.9,0.452,19.5,40.1,0.486,5.8,15.8,0.365,11.3,15.1,0.748,11.3,21.4,32.7,13.5,9.2,2.9,12.8,19.5,67.6,2005
Saint Mary's Gaels,34,,23.3,53.4,0.436,16.4,33.7,0.487,6.9,19.7,0.349,16.3,22.4,0.725,12.5,24.1,36.6,11.2,6.0,3.3,15.7,18.1,69.8,2005
Vermont Catamounts,32,40.2,25.2,57.9,0.435,16.8,34.4,0.487,8.4,23.5,0.358,13.1,18.2,0.722,12.4,25.3,37.8,15.4,6.8,1.7,11.9,15.8,71.8,2005
Syracuse Orange,34,40.3,27.8,57.5,0.484,23.2,42.9,0.542,4.6,14.7,0.313,14.7,22.1,0.667,13.8,24.1,38.0,15.4,8.1,4.6,13.7,15.9,74.9,2005
Villanova Wildcats,32,,25.0,57.5,0.435,18.0,37.9,0.474,7.0,19.6,0.359,15.9,21.6,0.736,14.5,22.8,37.3,12.0,8.3,5.6,12.8,18.6,73.0,2005
New Mexico Lobos,33,40.0,25.9,52.5,0.493,17.8,31.7,0.561,8.2,20.8,0.391,15.5,22.9,0.679,9.9,24.2,34.2,14.9,7.6,3.5,13.8,16.9,75.5,2005
Wisconsin Badgers,34,40.0,23.2,52.6,0.44,15.8,33.8,0.468,7.4,18.8,0.391,13.6,20.1,0.677,10.1,24.5,34.6,13.1,5.3,1.8,11.4,15.1,67.4,2005
Northern Iowa Panthers,32,40.3,26.5,55.1,0.48,19.4,36.6,0.531,7.1,18.5,0.381,12.2,17.5,0.698,8.8,24.6,33.5,15.3,6.0,4.3,11.7,17.4,72.2,2005
UAB Blazers,33,40.3,27.3,60.5,0.451,20.7,41.5,0.498,6.6,18.9,0.347,16.4,23.5,0.696,11.8,21.2,33.0,15.6,11.6,3.0,13.5,19.6,77.5,2005
LSU Fighting Tigers,30,40.8,25.9,56.3,0.459,19.0,37.3,0.51,6.8,19.0,0.359,16.7,22.8,0.73,11.6,24.9,36.6,14.7,7.0,4.2,13.5,16.3,75.2,2005
Arizona Wildcats,37,40.4,29.1,60.9,0.478,22.3,43.9,0.507,6.8,17.0,0.402,14.6,18.8,0.776,13.3,23.5,36.8,16.5,8.0,3.9,14.8,16.1,79.7,2005
Utah State Aggies,32,,26.6,50.7,0.525,20.8,35.9,0.58,5.8,14.8,0.391,13.4,19.3,0.691,9.6,24.6,34.2,17.2,5.6,2.9,12.4,13.8,72.3,2005
Boston College Eagles,30,40.5,25.6,56.2,0.456,21.5,39.7,0.54,4.1,16.4,0.252,17.1,24.1,0.712,14.1,23.7,37.8,17.6,7.2,4.1,13.4,15.1,72.5,2005
Penn Quakers,29,40.3,23.6,54.5,0.433,17.0,35.1,0.484,6.6,19.4,0.341,14.6,22.1,0.659,12.5,24.9,37.4,14.5,8.0,3.2,15.7,19.7,68.3,2005
