Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
St. Joseph's Hawks,34,40.3,25.3,52.9,0.477,18.0,34.1,0.528,7.3,18.8,0.386,15.3,21.0,0.726,9.9,22.0,31.9,14.8,7.1,4.5,12.7,17.6,73.1,2008
San Diego Toreros,36,,24.1,53.5,0.451,19.2,39.0,0.492,4.9,14.4,0.34,12.6,18.7,0.672,10.7,22.8,33.5,13.2,6.9,3.1,14.9,17.5,65.7,2008
UConn Huskies,33,,26.3,57.0,0.462,21.2,42.9,0.495,5.1,14.1,0.361,19.8,27.4,0.72,13.6,28.3,41.9,14.8,5.7,8.6,13.7,15.3,77.5,2008
Siena Saints,34,40.4,27.3,60.5,0.451,20.3,42.1,0.481,7.0,18.4,0.382,15.2,22.1,0.689,11.5,22.3,33.8,14.4,9.4,3.5,11.3,15.5,76.9,2008
Vanderbilt Commodores,34,41.0,27.3,58.7,0.465,18.4,36.3,0.506,8.9,22.4,0.399,16.5,22.5,0.735,10.6,24.6,35.2,17.8,6.1,3.5,14.5,18.3,80.0,2008
Tennessee Volunteers,36,,28.8,62.7,0.458,20.1,38.4,0.523,8.7,24.3,0.357,15.7,23.8,0.659,13.9,23.8,37.7,17.7,9.3,3.3,13.2,20.8,81.8,2008
American Eagles,33,,21.2,48.1,0.44,13.3,28.7,0.462,7.9,19.3,0.408,14.7,19.8,0.739,9.7,22.5,32.2,11.8,4.6,2.6,13.9,17.8,64.8,2008
Texas Longhorns,38,,27.2,60.1,0.452,19.0,39.1,0.487,8.1,21.1,0.386,13.0,19.1,0.683,13.1,25.1,38.1,13.2,6.0,5.2,9.4,16.6,75.5,2008
Austin Peay Governors,35,,24.4,54.8,0.446,16.6,34.3,0.484,7.8,20.4,0.382,17.3,24.3,0.714,10.3,21.3,31.6,14.3,9.6,2.1,12.6,17.6,74.0,2008
Villanova Wildcats,35,40.0,24.8,57.5,0.431,17.9,37.4,0.478,6.9,20.1,0.344,16.3,22.4,0.727,13.1,22.9,35.9,13.3,8.1,2.8,14.4,20.8,72.8,2008
Clemson Tigers,34,,29.4,64.4,0.456,21.4,43.0,0.498,8.0,21.4,0.372,12.4,19.9,0.623,15.8,22.6,38.4,15.7,9.8,5.4,14.9,19.5,79.2,2008
Western Kentucky Hilltoppers,36,,27.6,58.5,0.472,20.1,39.4,0.51,7.5,19.1,0.393,14.7,21.0,0.701,12.6,22.4,35.1,12.7,8.0,3.8,14.3,21.3,77.4,2008
Drake Bulldogs,33,40.3,24.7,55.4,0.446,15.3,30.0,0.512,9.4,25.5,0.369,15.1,19.9,0.759,12.1,22.1,34.2,14.7,7.6,2.6,11.8,14.9,73.9,2008
Duke Blue Devils,34,40.1,28.4,61.3,0.463,19.3,37.3,0.517,9.1,24.0,0.377,17.5,25.1,0.697,12.5,24.4,36.9,14.6,8.7,3.9,13.6,19.2,83.2,2008
Belmont Bruins,34,40.6,27.6,61.1,0.451,17.1,32.3,0.529,10.5,28.8,0.365,14.1,20.3,0.698,12.5,24.2,36.7,17.3,8.5,1.9,14.6,18.4,79.8,2008
Kansas Jayhawks,40,,29.4,57.9,0.508,22.6,40.8,0.555,6.8,17.1,0.397,15.0,21.3,0.702,12.1,26.6,38.7,18.0,8.9,5.9,13.2,17.7,80.5,2008
Portland State Vikings,33,40.5,25.6,55.2,0.464,16.7,32.5,0.514,8.9,22.7,0.393,13.7,20.2,0.677,11.5,22.7,34.2,15.8,7.0,3.3,14.7,17.9,73.9,2008
Kansas State Wildcats,33,40.3,27.8,62.6,0.443,21.4,42.6,0.502,6.4,20.1,0.317,16.1,23.5,0.687,16.3,24.9,41.3,15.5,7.5,3.4,15.2,20.2,78.0,2008
USC Trojans,33,40.5,24.8,51.8,0.48,19.3,37.4,0.515,5.6,14.4,0.387,13.7,20.0,0.685,9.2,24.3,33.5,12.4,5.7,4.4,14.6,16.1,69.0,2008
Marquette Golden Eagles,35,40.3,26.5,59.5,0.446,19.5,39.6,0.493,7.0,19.9,0.353,15.8,22.4,0.706,13.5,23.2,36.8,14.7,9.3,3.8,12.9,20.9,75.9,2008
Kentucky Wildcats,31,40.6,23.7,50.5,0.469,17.8,34.6,0.515,5.9,15.9,0.369,15.2,20.8,0.733,9.7,23.8,33.5,12.7,6.6,4.8,15.8,18.9,68.5,2008
Michigan State Spartans,36,40.0,26.4,54.9,0.48,21.4,41.5,0.516,5.0,13.4,0.371,13.5,18.4,0.737,12.2,24.7,36.9,17.5,5.8,4.2,13.6,18.5,71.2,2008
Temple Owls,34,,25.2,53.8,0.469,17.4,32.6,0.533,7.8,21.2,0.369,14.0,19.0,0.74,8.9,23.7,32.6,15.0,6.3,4.4,12.7,17.7,72.3,2008
UNLV Rebels,35,,24.1,57.1,0.422,16.6,34.4,0.482,7.5,22.7,0.332,13.9,18.7,0.747,10.2,24.4,34.5,14.6,7.9,3.0,10.8,17.3,69.7,2008
Kent State Golden Flashes,35,40.1,24.0,51.7,0.464,18.2,35.9,0.506,5.8,15.7,0.367,15.2,21.3,0.714,11.0,22.3,33.3,13.9,8.6,3.8,14.7,18.7,68.9,2008
Notre Dame Fighting Irish,33,40.2,27.7,61.1,0.454,19.4,40.5,0.478,8.3,20.5,0.405,15.3,20.8,0.738,13.2,28.3,41.5,18.4,6.2,3.8,13.0,15.1,79.0,2008
George Mason Patriots,34,,24.3,52.3,0.465,18.3,34.9,0.524,6.0,17.4,0.347,14.6,20.8,0.703,10.0,24.4,34.4,13.1,5.6,3.2,11.9,15.4,69.3,2008
Pitt Panthers,37,40.3,26.9,59.1,0.456,20.9,40.9,0.51,6.1,18.1,0.335,13.8,20.8,0.667,14.4,23.4,37.8,15.6,6.8,3.4,12.0,16.2,73.8,2008
