Team,Rk,Conf,AdjEM,AdjO,Strength_of_Schedule_AdjD,NCSOS_AdjT,Seed,W,L,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Gonzaga,1,WCC,32.97,121.8,1,88.8,1,26,3,29,40.0,32.9,62.4,0.527,24.6,40.3,0.609,8.4,22.1,0.379,13.6,18.6,0.73,9.4,32.1,41.5,18.2,6.7,5.9,11.8,15.4,87.8
Arizona,2,P12,27.21,119.6,5,92.4,1,31,3,34,40.1,30.4,61.4,0.496,22.7,39.4,0.575,7.8,21.9,0.354,15.9,21.6,0.738,11.4,29.9,41.4,19.9,6.7,5.7,13.2,16.5,84.6
Kentucky,3,SEC,26.59,120.2,4,93.6,2,26,7,33,40.2,30.4,62.8,0.485,24.3,45.2,0.537,6.2,17.6,0.349,12.5,17.1,0.73,12.9,27.3,40.3,16.1,6.8,4.2,11.5,14.2,79.5
Houston,4,Amer,26.5,117.3,10,90.9,5,29,5,34,40.4,28.1,60.0,0.469,20.1,36.6,0.551,8.0,23.5,0.341,11.5,17.2,0.669,13.4,25.9,39.2,16.7,8.2,5.2,11.3,17.4,75.8
Baylor,5,B12,26.32,117.9,9,91.6,1,26,6,32,40.2,28.2,60.9,0.464,20.3,37.9,0.535,7.9,23.0,0.346,12.1,17.4,0.698,12.8,24.4,37.1,15.8,8.8,3.4,12.5,15.8,76.5
Kansas,6,B12,25.49,119.4,6,93.9,1,28,6,34,40.4,28.6,59.6,0.481,21.5,39.4,0.545,7.1,20.1,0.355,14.1,19.5,0.724,11.1,26.3,37.4,15.4,6.4,4.1,12.5,15.9,78.6
Tennessee,7,SEC,25.24,111.4,36,86.2,3,26,7,33,40.3,25.9,60.2,0.43,17.1,35.7,0.479,8.8,24.4,0.359,12.7,17.8,0.712,11.9,25.2,37.1,16.1,9.3,4.4,12.4,17.0,73.2
UCLA,8,P12,24.85,116.1,15,91.2,4,25,7,32,40.8,27.9,62.1,0.45,21.1,42.5,0.496,6.9,19.6,0.351,13.6,18.5,0.736,11.6,25.5,37.1,14.0,7.0,3.3,9.2,16.3,76.4
Texas Tech,9,B12,24.64,109.7,65,85.1,3,25,9,34,40.4,25.9,55.2,0.47,19.9,36.2,0.551,6.0,19.0,0.314,13.9,19.9,0.699,10.6,25.9,36.5,13.6,8.2,3.5,13.9,16.2,71.7
Auburn,10,SEC,24.45,113.6,24,89.1,2,27,5,32,40.6,27.9,63.6,0.44,19.8,38.2,0.519,8.1,25.4,0.32,14.7,20.1,0.733,12.5,27.5,39.9,14.6,8.8,7.9,12.1,18.5,78.7
Villanova,11,BE,24.11,118.0,8,93.8,2,26,7,33,40.2,24.6,56.3,0.437,15.3,30.4,0.503,9.3,25.9,0.359,14.1,17.2,0.823,10.2,24.7,34.9,12.1,6.2,2.2,10.0,15.2,72.6
Duke,12,ACC,23.71,119.4,7,95.7,2,28,6,34,40.1,29.7,60.7,0.489,21.5,38.5,0.558,8.2,22.2,0.368,12.6,17.4,0.729,10.7,27.6,38.3,16.9,6.5,5.5,10.2,13.6,80.2
Iowa,13,B10,23.53,121.5,2,98.0,5,26,9,35,40.3,29.9,64.5,0.464,20.6,39.2,0.526,9.3,25.2,0.368,14.7,19.6,0.749,11.8,25.4,37.3,16.1,7.4,4.4,9.2,16.1,83.8
Purdue,14,B10,22.29,121.3,3,99.0,3,27,7,34,40.4,28.2,57.2,0.493,19.5,34.9,0.559,8.7,22.4,0.391,14.6,20.8,0.703,11.2,27.4,38.6,16.6,4.6,3.5,11.7,14.4,79.8
Texas,15,B12,20.41,111.8,32,91.4,6,21,11,32,40.3,24.3,55.0,0.442,17.9,35.2,0.508,6.4,19.8,0.323,13.3,17.8,0.749,10.4,23.2,33.6,13.0,7.7,3.4,11.8,17.4,68.3
Saint Mary's,16,WCC,19.81,109.8,63,90.0,5,25,7,32,40.0,26.2,56.4,0.463,19.0,36.0,0.528,7.2,20.4,0.35,10.3,13.5,0.762,8.6,25.2,33.8,13.4,7.0,2.6,11.3,15.6,69.8
Illinois,17,B10,19.59,113.7,23,94.1,4,22,9,31,40.3,26.7,58.9,0.453,17.5,33.8,0.517,9.2,25.1,0.367,13.2,18.6,0.708,11.6,27.0,38.6,15.4,5.2,3.0,12.2,16.4,75.8
UConn,18,BE,19.33,113.9,21,94.6,5,23,9,32,40.8,26.8,61.6,0.436,19.4,40.5,0.478,7.4,21.1,0.353,14.1,18.8,0.75,14.0,26.9,40.9,14.0,6.0,6.5,11.9,16.8,75.2
LSU,19,SEC,19.08,107.6,89,88.6,6,22,11,33,40.3,26.1,59.4,0.44,19.6,38.8,0.504,6.5,20.5,0.319,14.3,19.6,0.732,12.1,24.8,36.9,12.7,11.1,4.4,14.5,19.3,73.1
Arkansas,20,SEC,19.02,111.1,40,92.1,4,25,8,33,40.3,26.6,60.6,0.44,20.3,39.8,0.509,6.4,20.8,0.307,17.3,23.0,0.753,11.2,26.9,38.2,14.1,7.7,4.2,12.6,16.8,76.9
San Francisco,21,WCC,18.37,110.8,45,92.4,10,24,9,33,40.0,27.6,60.5,0.457,18.0,33.2,0.541,9.6,27.2,0.354,12.2,17.5,0.696,10.7,27.3,37.9,13.1,7.7,4.6,12.9,17.9,77.1
San Diego State,22,MWC,18.15,104.1,157,85.9,8,23,8,31,40.3,23.7,54.7,0.433,17.6,37.9,0.466,6.0,16.9,0.358,11.9,17.1,0.695,9.8,25.3,35.1,11.9,7.5,4.7,12.7,17.4,65.3
Virginia Tech,23,ACC,17.86,114.3,18,96.4,11,23,12,35,40.1,26.0,55.3,0.471,17.0,32.3,0.526,9.0,22.9,0.393,9.7,13.1,0.743,8.6,23.6,32.2,14.4,5.4,3.2,10.8,14.7,70.7
Loyola (IL),24,MVC,17.69,110.9,42,93.2,10,25,7,32,40.6,26.3,54.3,0.483,17.3,31.1,0.558,8.9,23.3,0.383,12.4,17.3,0.719,7.7,26.3,34.0,15.0,6.9,2.4,12.2,17.2,73.8
Alabama,25,SEC,17.36,116.1,14,98.7,6,19,13,32,40.2,27.7,62.8,0.441,18.4,32.7,0.563,9.3,30.1,0.308,15.4,21.1,0.73,13.5,26.4,39.9,14.6,7.0,4.7,14.6,18.6,80.0
Boise State,26,MWC,16.41,108.5,76,92.1,8,27,7,34,40.4,24.5,54.6,0.448,17.1,33.4,0.512,7.4,21.2,0.348,12.4,19.1,0.649,10.2,24.8,35.0,11.5,5.9,3.5,12.1,15.1,68.7
Murray State,27,OVC,16.39,111.5,35,95.1,7,30,2,32,40.0,29.0,60.6,0.479,21.0,37.8,0.555,8.1,22.8,0.353,13.2,19.0,0.694,12.5,26.7,39.2,14.7,7.9,3.1,11.4,15.0,79.3
Memphis,28,Amer,16.22,110.4,50,94.1,9,21,10,31,40.0,26.9,57.2,0.471,20.6,39.6,0.52,6.3,17.6,0.359,15.2,22.0,0.692,12.5,26.3,38.7,16.1,8.7,5.7,16.4,18.7,75.4
UNC,29,ACC,16.04,113.1,27,97.0,8,24,9,33,40.3,27.6,61.0,0.453,19.4,38.2,0.508,8.3,22.9,0.362,14.0,18.1,0.772,10.7,29.1,39.8,14.8,5.4,3.8,11.7,14.4,77.5
Colorado State,31,MWC,15.86,114.2,20,98.3,6,25,5,30,40.3,26.6,54.8,0.485,19.0,33.5,0.566,7.6,21.3,0.358,12.9,16.7,0.774,6.6,25.3,31.9,14.2,6.3,3.2,10.1,14.9,73.7
Ohio State,32,B10,15.82,116.6,13,100.8,7,19,11,30,40.3,25.9,54.7,0.474,17.8,33.0,0.54,8.1,21.7,0.373,13.9,18.3,0.76,8.8,25.5,34.4,12.8,4.4,4.8,11.0,16.4,73.8
Michigan,33,B10,15.65,114.2,19,98.6,11,17,14,31,40.0,27.1,57.9,0.468,20.7,39.2,0.53,6.4,18.7,0.34,12.5,16.7,0.746,10.0,25.5,35.5,14.2,4.8,3.1,11.5,15.5,73.0
Wisconsin,34,B10,15.58,110.4,49,94.8,3,24,7,31,40.0,25.0,58.8,0.425,18.4,37.6,0.489,6.6,21.2,0.312,14.1,19.0,0.742,9.3,25.6,34.9,11.1,5.3,2.8,8.5,17.0,70.7
Seton Hall,35,BE,14.97,108.5,75,93.5,8,21,10,31,40.2,25.6,60.4,0.423,18.2,38.8,0.47,7.4,21.6,0.34,14.4,19.0,0.757,12.2,26.7,38.9,10.4,7.0,5.5,12.0,15.6,72.9
Indiana,36,B10,14.94,107.6,91,92.6,12,20,13,33,40.5,26.0,56.8,0.459,19.9,38.7,0.514,6.1,18.1,0.339,13.3,19.0,0.699,9.0,27.3,36.3,14.9,5.7,5.0,11.9,17.2,71.5
TCU,38,B12,14.91,108.2,80,93.3,9,20,12,32,40.2,25.3,57.4,0.441,19.7,39.1,0.505,5.6,18.3,0.304,12.0,17.9,0.668,12.9,25.8,38.7,13.6,6.3,4.2,14.5,15.3,68.1
Michigan State,40,B10,14.87,111.3,38,96.4,7,22,12,34,40.0,26.0,56.9,0.457,18.8,37.9,0.497,7.2,19.0,0.378,12.9,17.3,0.747,10.0,27.1,37.1,15.8,5.8,5.1,13.1,16.9,72.1
Davidson,41,A10,14.8,116.8,11,102.0,10,27,6,33,40.2,26.7,55.4,0.481,17.8,32.6,0.548,8.8,22.8,0.386,13.4,17.7,0.757,7.4,26.9,34.2,14.7,4.7,2.6,9.8,14.7,75.6
USC,42,P12,14.45,110.5,47,96.0,7,26,7,33,40.3,26.8,59.2,0.454,20.2,40.2,0.501,6.7,18.9,0.354,12.2,18.3,0.666,11.9,28.2,40.2,14.2,5.1,4.5,12.0,15.6,72.6
UAB,46,CUSA,14.03,112.5,28,98.5,12,27,7,34,40.4,29.7,63.4,0.468,21.7,42.4,0.512,8.0,21.0,0.379,13.4,18.1,0.738,12.2,26.2,38.4,13.0,9.6,4.3,11.5,16.6,80.7
Marquette,47,BE,14.0,109.8,62,95.8,9,19,12,31,40.3,26.9,59.4,0.453,18.3,34.6,0.529,8.6,24.8,0.347,11.9,15.9,0.747,7.7,27.0,34.7,16.0,7.9,5.1,12.5,17.5,74.4
Iowa State,48,B12,13.95,104.4,151,90.4,11,20,12,32,40.3,24.5,55.8,0.439,17.8,34.9,0.509,6.7,20.9,0.321,10.8,15.7,0.684,9.4,22.6,32.0,14.7,8.4,3.1,13.8,18.0,66.5
Providence,49,BE,13.88,111.9,31,98.0,4,25,5,30,40.8,24.4,55.9,0.437,17.1,34.6,0.496,7.3,21.3,0.343,15.6,21.5,0.726,10.5,26.9,37.5,13.2,5.0,3.8,11.7,16.0,71.8
Notre Dame,52,ACC,13.63,112.0,29,98.4,11,22,10,32,40.3,25.9,56.1,0.462,16.8,32.0,0.524,9.2,24.1,0.38,11.5,15.1,0.758,7.2,26.9,34.1,14.2,5.1,1.9,10.3,12.9,72.5
Creighton,53,BE,13.47,105.6,124,92.1,9,22,11,33,40.3,25.8,57.2,0.45,19.1,35.3,0.539,6.7,21.8,0.307,10.8,14.8,0.729,9.6,28.6,38.3,13.2,5.4,4.4,14.1,13.4,69.0
Wyoming,58,MWC,13.1,110.2,54,97.1,12,25,8,33,40.6,25.2,55.1,0.458,17.1,31.3,0.545,8.2,23.8,0.343,14.3,19.7,0.727,8.3,27.5,35.8,11.4,4.0,2.0,11.1,15.1,73.0
Vermont,59,AE,13.07,110.8,44,97.7,13,28,5,33,40.2,27.6,55.9,0.493,18.8,31.8,0.591,8.8,24.0,0.364,11.0,14.8,0.747,7.3,27.8,35.1,15.2,5.2,2.5,9.7,13.8,74.9
Miami (FL),62,ACC,12.62,114.8,17,102.1,10,23,10,33,40.2,27.6,57.7,0.478,20.3,37.0,0.548,7.3,20.7,0.353,12.4,16.6,0.743,7.5,22.9,30.5,14.0,8.7,2.9,9.6,14.9,74.8
South Dakota State,71,Sum,11.44,116.8,12,105.3,13,30,4,34,40.1,31.1,59.2,0.525,21.7,38.3,0.566,9.4,20.9,0.449,15.2,20.0,0.759,7.4,28.1,35.6,15.2,6.1,2.5,11.0,15.4,86.7
Chattanooga,72,SC,11.27,110.0,58,98.8,13,27,7,34,40.3,27.5,58.6,0.469,19.5,35.6,0.548,8.0,23.1,0.346,11.8,15.7,0.752,10.6,25.3,35.9,13.0,7.2,2.2,11.0,15.5,74.8
Rutgers,74,B10,10.86,106.4,107,95.5,11,18,13,31,40.3,25.5,57.6,0.443,19.4,39.5,0.491,6.1,18.1,0.336,10.9,15.5,0.701,10.1,25.3,35.4,15.0,7.2,3.9,11.5,15.8,67.9
New Mexico State,81,WAC,10.1,107.8,87,97.7,12,26,6,32,40.2,25.9,56.6,0.457,18.0,32.5,0.554,7.8,24.0,0.326,13.7,19.7,0.698,11.1,27.3,38.5,13.9,5.1,4.2,14.0,15.9,73.3
Richmond,83,A10,9.82,109.1,68,99.3,12,23,12,35,40.3,25.4,57.2,0.444,17.3,33.1,0.522,8.1,24.1,0.337,12.8,17.7,0.725,7.5,24.8,32.3,14.7,7.9,2.3,9.8,13.9,71.7
Saint Peter's,118,MAAC,4.28,98.8,259,94.5,15,19,11,30,40.2,23.6,54.7,0.431,17.7,38.1,0.465,5.9,16.6,0.353,13.9,20.3,0.683,11.0,25.2,36.2,12.2,7.3,4.9,13.9,19.5,66.9
Colgate,119,Pat,4.22,108.3,79,104.1,14,23,11,34,40.1,27.7,58.1,0.476,17.8,33.6,0.53,9.9,24.6,0.403,10.7,15.4,0.695,8.8,27.4,36.2,17.2,6.2,3.7,11.3,14.5,76.1
Montana St.,125,BSky,3.81,104.5,147,100.7,14,27,7,34,40.4,26.5,55.8,0.475,18.9,35.1,0.539,7.6,20.7,0.369,16.3,21.6,0.753,8.7,26.8,35.5,13.2,5.2,3.7,12.8,18.1,77.0
Akron,131,MAC,3.49,106.2,113,102.7,13,24,9,33,40.2,24.4,52.9,0.462,16.5,30.8,0.537,7.9,22.2,0.357,14.4,21.0,0.687,9.9,25.1,35.0,11.9,5.8,3.3,11.5,15.8,71.2
Longwood,144,BSth,2.48,106.1,115,103.6,14,26,6,32,40.3,26.7,58.8,0.454,18.5,37.2,0.497,8.2,21.6,0.38,14.8,20.5,0.724,12.0,25.3,37.3,14.0,7.8,2.4,12.0,15.4,76.3
