ATeam,ASeed,BTeam,BSeed,ARk,AAdjEM,AAdjO,AStrength_of_Schedule_AdjD,ANCSOS_AdjT,AW,AL,BRk,BAdjEM,BAdjO,BStrength_of_Schedule_AdjD,BNCSOS_AdjT,BW,BL,A_g,A_mp_per_g,A_fg_per_g,A_fga_per_g,A_fg_pct,A_fg2_per_g,A_fg2a_per_g,A_fg2_pct,A_fg3_per_g,A_fg3a_per_g,A_fg3_pct,A_ft_per_g,A_fta_per_g,A_ft_pct,A_orb_per_g,A_drb_per_g,A_trb_per_g,A_ast_per_g,A_stl_per_g,A_blk_per_g,A_tov_per_g,A_pf_per_g,A_pts_per_g,B_g,B_mp_per_g,B_fg_per_g,B_fga_per_g,B_fg_pct,B_fg2_per_g,B_fg2a_per_g,B_fg2_pct,B_fg3_per_g,B_fg3a_per_g,B_fg3_pct,B_ft_per_g,B_fta_per_g,B_ft_pct,B_orb_per_g,B_drb_per_g,B_trb_per_g,B_ast_per_g,B_stl_per_g,B_blk_per_g,B_tov_per_g,B_pf_per_g,B_pts_per_g
Texas Southern,16,Texas A&M-Corpus Christi,16,188,-1.33,98.1,270,99.4,18,12,243,-6.31,97.0,287,103.3,23,11,30,40.2,25.4,58.0,0.437,19.6,39.8,0.492,5.8,18.2,0.317,12.7,19.0,0.671,12.1,27.4,39.5,10.7,5.6,5.0,14.9,17.8,69.2,34,40.1,27.0,60.7,0.445,20.6,41.7,0.495,6.4,19.0,0.335,16.6,22.3,0.744,12.9,25.4,38.4,15.0,8.5,1.7,14.2,20.3,76.9
Wyoming,12,Indiana,12,58,13.1,110.2,54,97.1,25,8,36,14.94,107.6,91,92.6,20,13,33,40.6,25.2,55.1,0.458,17.1,31.3,0.545,8.2,23.8,0.343,14.3,19.7,0.727,8.3,27.5,35.8,11.4,4.0,2.0,11.1,15.1,73.0,33,40.5,26.0,56.8,0.459,19.9,38.7,0.514,6.1,18.1,0.339,13.3,19.0,0.699,9.0,27.3,36.3,14.9,5.7,5.0,11.9,17.2,71.5
Rutgers,11,Notre Dame,11,74,10.86,106.4,107,95.5,18,13,52,13.63,112.0,29,98.4,22,10,31,40.3,25.5,57.6,0.443,19.4,39.5,0.491,6.1,18.1,0.336,10.9,15.5,0.701,10.1,25.3,35.4,15.0,7.2,3.9,11.5,15.8,67.9,32,40.3,25.9,56.1,0.462,16.8,32.0,0.524,9.2,24.1,0.38,11.5,15.1,0.758,7.2,26.9,34.1,14.2,5.1,1.9,10.3,12.9,72.5
Wright State,16,Bryant,16,182,-0.87,106.4,108,107.2,21,13,183,-0.95,104.2,154,105.2,22,9,34,40.0,27.5,59.1,0.465,21.1,39.9,0.53,6.3,19.2,0.329,14.2,18.5,0.768,10.5,24.4,34.9,13.9,5.8,2.9,12.3,14.4,75.5,31,40.3,27.4,62.6,0.437,19.0,35.4,0.536,8.4,27.2,0.308,14.8,20.2,0.733,12.6,28.9,41.5,14.1,6.3,4.5,13.9,16.8,77.9
